# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[<P_0(k)> (Mpc/h)^3]
0.0347642200	14995.7500000000	14997.9900000000
0.0589028200	10983.0800000000	10981.2100000000
0.0837808700	6473.9620000000	6474.9160000000
0.1087368000	4976.1200000000	4976.2530000000
0.1341836000	3721.3250000000	3721.2730000000
0.1581206000	2746.5080000000	2746.6090000000
0.1826843000	2127.0480000000	2127.0710000000
0.2073525000	1961.7230000000	1961.7710000000
0.2322407000	1713.0320000000	1713.1640000000
0.2568838000	1444.1550000000	1444.1790000000
0.2811185000	1310.2080000000	1310.2180000000
0.3057758000	1160.5150000000	1160.3500000000
0.3308750000	1120.1140000000	1120.2350000000
0.3553459000	1038.5040000000	1038.5490000000
0.3797184000	889.0596000000	889.0913000000
0.4042043000	866.3303000000	866.4062000000
0.4287408000	782.3067000000	782.2436000000
0.4533372000	765.9140000000	765.9137000000
0.4779960000	719.1251000000	719.1684000000
0.5026630000	682.5501000000	682.5636000000
0.5271488000	617.3688000000	617.4104000000
0.5515428000	601.2603000000	601.2324000000
0.5762241000	566.2284000000	566.2499000000
0.6007286000	570.1290000000	570.1053000000
0.6252569000	541.6216000000	541.5785000000
0.6499966000	526.2176000000	526.2638000000
0.6746858000	493.1031000000	493.0865000000
0.6991271000	486.1328000000	486.1214000000
0.7235757000	468.0769000000	468.1190000000
0.7479714000	451.5457000000	451.5919000000
0.7726133000	440.6447000000	440.6307000000
0.7972413000	422.2403000000	422.2760000000
0.8218513000	414.6695000000	414.6326000000
0.8464491000	397.6532000000	397.6909000000
0.8709767000	390.7023000000	390.7075000000
0.8955547000	376.0324000000	376.0103000000
0.9199772000	367.7558000000	367.7565000000
0.9444963000	366.2257000000	366.2443000000
0.9690846000	357.1703000000	357.1677000000
0.9935517000	349.2085000000	349.2536000000
1.0180990000	341.2835000000	341.2788000000
1.0426790000	332.3856000000	332.4171000000
1.0673530000	323.3726000000	323.4061000000
1.0920040000	314.6700000000	314.6604000000
1.1165490000	308.2670000000	308.2872000000
1.1409670000	304.4494000000	304.4556000000
1.1654100000	294.1981000000	294.2145000000
1.1899420000	284.4119000000	284.4324000000
1.2143400000	283.7052000000	283.7440000000
1.2388240000	277.4131000000	277.4257000000
1.2636160000	268.5029000000	268.5384000000
1.2882780000	264.4026000000	264.4549000000
1.3126980000	257.9218000000	257.9201000000
1.3371290000	252.1622000000	252.2108000000
1.3618460000	249.8744000000	249.8911000000
1.3864590000	243.7739000000	243.8034000000
1.4107600000	237.9835000000	237.9838000000
1.4352940000	237.8489000000	237.8618000000
1.4599660000	230.4570000000	230.4908000000
1.4845530000	226.7696000000	226.7949000000
1.5090590000	224.1877000000	224.2006000000
1.5335650000	217.6664000000	217.6783000000
1.5582840000	217.1905000000	217.2335000000
1.5828180000	212.5927000000	212.6319000000
1.6072590000	208.3810000000	208.3790000000
1.6318090000	204.0970000000	204.1309000000
1.6563660000	200.0469000000	200.0663000000
1.6809250000	197.9559000000	197.9692000000
1.7052570000	193.0434000000	193.0713000000
1.7298060000	190.4818000000	190.4769000000
1.7544620000	186.9954000000	187.0309000000
1.7789920000	182.0170000000	182.0270000000
1.8034110000	179.2719000000	179.2850000000
1.8279630000	178.2108000000	178.2375000000
1.8526470000	173.1626000000	173.2013000000
1.8772490000	171.5430000000	171.5648000000
1.9017330000	167.4773000000	167.5224000000
1.9262410000	164.3727000000	164.4105000000
1.9508300000	162.3228000000	162.3263000000
1.9753080000	160.9245000000	160.9497000000
1.9997290000	158.3577000000	158.3495000000
2.0244190000	154.2102000000	154.2465000000
2.0491260000	151.6870000000	151.7082000000
2.0735080000	150.5986000000	150.6203000000
2.0978460000	148.2302000000	148.2555000000
2.1224730000	145.0695000000	145.0886000000
2.1471060000	142.9880000000	143.0345000000
2.1716010000	140.9596000000	140.9820000000
2.1961580000	138.2571000000	138.2973000000
2.2207350000	136.5075000000	136.5609000000
2.2452510000	134.7936000000	134.8199000000
2.2697290000	132.9324000000	132.9647000000
2.2942710000	131.0655000000	131.0921000000
2.3189280000	128.3471000000	128.3865000000
2.3435380000	126.4883000000	126.5118000000
2.3680260000	124.8813000000	124.9234000000
2.3924230000	121.5233000000	121.5383000000
2.4168630000	119.8348000000	119.8772000000
2.4415090000	119.1177000000	119.1380000000
2.4660800000	116.9114000000	116.9487000000
2.4905750000	115.1353000000	115.1881000000
2.5151860000	113.7515000000	113.7746000000
2.5397770000	112.5798000000	112.6245000000
2.5642150000	111.0678000000	111.0942000000
2.5887070000	109.4220000000	109.4546000000
2.6133370000	107.4040000000	107.4476000000
2.6379250000	106.8807000000	106.9137000000
2.6624200000	104.1901000000	104.2180000000
2.6869630000	102.6902000000	102.7329000000
2.7115150000	102.1925000000	102.2166000000
2.7359820000	100.1996000000	100.2406000000
2.7605730000	98.8851100000	98.9211800000
2.7852370000	97.1490400000	97.1642200000
2.8096710000	96.5585500000	96.5926200000
2.8341510000	94.7002300000	94.7479500000
2.8587220000	93.4553900000	93.4768400000
2.8832500000	92.7868400000	92.8233700000
2.9078190000	90.9757700000	91.0109100000
2.9323350000	90.0239500000	90.0534200000
2.9569140000	88.5317500000	88.5669500000
2.9814490000	87.2458800000	87.2776100000
3.0058760000	86.4436500000	86.4756100000
3.0304030000	85.3595900000	85.3939500000
3.0550410000	84.0111100000	84.0541800000
3.0796920000	82.9994300000	83.0381100000
3.1042410000	81.9463500000	81.9717900000
3.1287100000	81.2344200000	81.2639200000
3.1531230000	80.1924200000	80.2210100000
3.1776190000	79.0230400000	79.0600100000
3.2021850000	78.4213400000	78.4533400000
3.2267080000	77.0335100000	77.0730200000
3.2513210000	76.0630400000	76.0941900000
3.2758820000	75.0072300000	75.0414100000
3.3003930000	74.3503700000	74.3873200000
3.3249550000	73.3075600000	73.3401000000
3.3495280000	72.6853900000	72.7218100000
3.3740870000	71.8311800000	71.8616800000
3.3985410000	70.7930200000	70.8272700000
3.4230110000	70.0226200000	70.0617600000
3.4475460000	68.9187600000	68.9506300000
3.4721760000	68.3200500000	68.3537500000
3.4967720000	67.5268200000	67.5575900000
3.5213020000	66.8187000000	66.8491600000
3.5458450000	65.7040000000	65.7392200000
3.5703510000	65.4061000000	65.4407400000
3.5948170000	64.2996300000	64.3384500000
3.6193400000	64.0201300000	64.0644600000
3.6439210000	63.0807600000	63.1211100000
3.6685010000	62.2183500000	62.2525800000
3.6930830000	61.4593400000	61.5005300000
3.7176360000	60.4737600000	60.5075200000
3.7421230000	60.1628800000	60.1979600000
3.7666230000	59.5398200000	59.5719500000
3.7912110000	58.9079200000	58.9496700000
3.8157400000	58.0711000000	58.1118500000
3.8402500000	57.4462400000	57.4802200000
3.8648160000	57.1795000000	57.2089200000
3.8894160000	56.5948500000	56.6262400000
3.9139840000	55.7834200000	55.8234400000
3.9384390000	54.9105400000	54.9426100000
3.9628560000	54.5088400000	54.5445400000
3.9874080000	53.7945300000	53.8342300000
4.0119510000	53.3383900000	53.3740600000
4.0365020000	52.8090400000	52.8514700000
4.0611010000	52.3891200000	52.4220200000
4.0856320000	51.8061000000	51.8481200000
4.1102260000	51.3913300000	51.4289300000
4.1347600000	50.7485200000	50.7738900000
4.1592470000	50.2844300000	50.3230400000
4.1838070000	49.5773300000	49.6125400000
4.2083210000	49.0849700000	49.1126200000
4.2328390000	48.6375400000	48.6740800000
4.2573760000	48.3329900000	48.3700800000
4.2819440000	47.5335100000	47.5604500000
4.3065050000	47.1795200000	47.2185200000
4.3310330000	46.5460500000	46.5815100000
4.3556170000	46.1100800000	46.1410200000
4.3801610000	45.7770200000	45.8144800000
4.4046760000	45.5130600000	45.5515600000
4.4292490000	44.8907200000	44.9251800000
4.4537720000	44.6435500000	44.6826900000
4.4782820000	43.9941800000	44.0300400000
4.5027770000	43.7274400000	43.7576300000
4.5272890000	43.3628200000	43.4043100000
4.5518890000	42.6594200000	42.6903800000
4.5764260000	42.4073400000	42.4480300000
4.6008930000	41.9234200000	41.9622100000
4.6254670000	41.4726600000	41.5071000000
4.6500350000	41.3802400000	41.4150400000
4.6745410000	40.8284600000	40.8700300000
4.6991040000	40.2308500000	40.2622800000
4.7236700000	40.0250800000	40.0559600000
4.7481820000	39.7001300000	39.7420200000
4.7726820000	39.3383100000	39.3709000000
4.7972030000	38.9820900000	39.0198400000
4.8217550000	38.6109500000	38.6483400000
4.8463610000	38.3491300000	38.3868200000
4.8709150000	37.8677500000	37.9005200000
4.8954260000	37.6176100000	37.6542900000
4.9199520000	37.4209400000	37.4578800000
4.9444960000	36.9414000000	36.9788800000
4.9690130000	36.5581100000	36.5912900000
4.9935620000	36.3183700000	36.3580100000
5.0181380000	35.9723500000	36.0031400000
5.0426420000	35.6448400000	35.6772900000
5.0672150000	35.2074700000	35.2408300000
5.0917750000	35.1102300000	35.1434200000
5.1163090000	34.8250600000	34.8618800000
5.1408380000	34.4608200000	34.4960300000
5.1653330000	34.2320100000	34.2668200000
5.1898180000	33.9760100000	34.0136400000
5.2143510000	33.6107800000	33.6399900000
5.2389470000	33.4273000000	33.4647200000
5.2634790000	33.0491700000	33.0834800000
5.2880020000	32.7865300000	32.8233300000
5.3125460000	32.4169800000	32.4508700000
5.3371210000	32.2898100000	32.3256800000
5.3616720000	32.0261400000	32.0623600000
5.3861960000	31.7483000000	31.7821000000
5.4107150000	31.5141500000	31.5496500000
5.4352440000	31.2072900000	31.2433800000
5.4598230000	30.8980800000	30.9339800000
5.4843890000	30.7222400000	30.7609400000
5.5088890000	30.4845800000	30.5202600000
5.5334640000	30.2351700000	30.2708100000
5.5580360000	29.9902200000	30.0277500000
5.5824840000	29.6908700000	29.7278800000
5.6069560000	29.4077900000	29.4470400000
5.6315600000	29.2573300000	29.2920700000
5.6561680000	28.9732500000	29.0073800000
5.6806980000	28.7501900000	28.7839600000
5.7052040000	28.5466000000	28.5872000000
5.7297040000	28.4384900000	28.4766700000
5.7542320000	28.0501400000	28.0874100000
5.7787720000	27.8173600000	27.8512800000
