# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[<P_0(k)> (Mpc/h)^3]
5.8033420000	27.5936800000	27.6331200000
5.8279020000	27.3625700000	27.3976400000
5.8524090000	27.2358200000	27.2739700000
5.8769570000	27.0432900000	27.0836000000
5.9015340000	26.8602000000	26.8921400000
5.9260300000	26.6264300000	26.6668100000
5.9505480000	26.5416900000	26.5764700000
5.9751370000	26.1967000000	26.2358300000
5.9996570000	25.9732100000	26.0087300000
6.0241610000	25.8979700000	25.9335000000
6.0487140000	25.6696200000	25.7089800000
6.0732670000	25.5125700000	25.5507100000
6.0978680000	25.2844900000	25.3225000000
6.1223690000	25.0949800000	25.1317900000
6.1468670000	24.8832000000	24.9207700000
6.1714520000	24.7791500000	24.8198700000
6.1959740000	24.5494900000	24.5841700000
6.2204440000	24.3607300000	24.3960700000
6.2449860000	24.2556800000	24.2959900000
6.2695880000	23.9445800000	23.9831400000
6.2941240000	23.7940200000	23.8323000000
6.3186330000	23.6532800000	23.6919400000
6.3432020000	23.4768700000	23.5147000000
6.3677700000	23.3208400000	23.3567100000
6.3922880000	23.1815700000	23.2185700000
6.4168370000	23.0109000000	23.0477300000
6.4413830000	22.8385800000	22.8764900000
6.4659130000	22.6753000000	22.7161800000
6.4904330000	22.5850600000	22.6243900000
6.5149460000	22.3243000000	22.3627900000
6.5395180000	22.2214400000	22.2589600000
6.5640590000	22.0161900000	22.0569400000
6.5885870000	21.9275800000	21.9639800000
6.6131100000	21.7165100000	21.7559200000
6.6376220000	21.5918700000	21.6290000000
6.6621720000	21.3973000000	21.4381600000
6.6866930000	21.2738400000	21.3095900000
6.7112270000	21.1140500000	21.1521500000
6.7357770000	20.9471800000	20.9873400000
6.7603230000	20.8590100000	20.8983200000
6.7848550000	20.6786700000	20.7187700000
6.8094270000	20.5932100000	20.6304900000
6.8339790000	20.4828900000	20.5244700000
6.8585030000	20.3369200000	20.3769100000
6.8830550000	20.2012900000	20.2375500000
6.9075840000	20.0467000000	20.0840800000
6.9321340000	19.9479300000	19.9877200000
6.9566690000	19.7404200000	19.7774900000
6.9812210000	19.6180600000	19.6567900000
7.0057530000	19.4918300000	19.5299800000
7.0302330000	19.3318500000	19.3721600000
7.0547820000	19.2868300000	19.3262100000
7.0793430000	19.1526600000	19.1902800000
7.1038830000	18.9821500000	19.0200200000
7.1284240000	18.8817900000	18.9217800000
7.1529650000	18.7749200000	18.8134100000
7.1775010000	18.6071700000	18.6446700000
7.2020130000	18.4990700000	18.5354900000
7.2265770000	18.3853400000	18.4241600000
7.2511250000	18.2981600000	18.3359400000
7.2756510000	18.2096500000	18.2487100000
7.3002260000	18.0447700000	18.0836300000
7.3247590000	17.9638900000	18.0024300000
7.3492990000	17.7942800000	17.8347800000
7.3738250000	17.7050200000	17.7470000000
7.3983120000	17.5750900000	17.6156600000
7.4228920000	17.5330300000	17.5751600000
7.4474420000	17.3259800000	17.3627500000
7.4719560000	17.2696100000	17.3102100000
7.4964990000	17.1391500000	17.1786600000
7.5210140000	17.0845300000	17.1240900000
7.5455570000	16.9533200000	16.9931900000
7.5700860000	16.8254400000	16.8643700000
7.5946130000	16.7423500000	16.7824500000
7.6191720000	16.5903600000	16.6282100000
7.6437560000	16.5399000000	16.5791500000
7.6682630000	16.4444500000	16.4850100000
7.6927770000	16.3614500000	16.3993900000
7.7173710000	16.2486700000	16.2899000000
7.7419290000	16.1502500000	16.1899900000
7.7664570000	16.0435000000	16.0831500000
7.7909530000	15.9554600000	15.9953800000
7.8154890000	15.8538300000	15.8915900000
7.8400500000	15.7540700000	15.7939900000
7.8645880000	15.6608500000	15.7011000000
7.8891260000	15.5606600000	15.5991300000
7.9136430000	15.4746100000	15.5146700000
7.9381810000	15.3748400000	15.4139800000
7.9627600000	15.3364400000	15.3757400000
7.9873110000	15.2060200000	15.2456600000
8.0118110000	15.0662400000	15.1045200000
8.0363250000	15.0401900000	15.0807400000
8.0608680000	14.9160600000	14.9536700000
8.0854460000	14.8598300000	14.9012800000
8.1099890000	14.7677300000	14.8090700000
8.1344710000	14.6975000000	14.7361400000
8.1590380000	14.5806600000	14.6206600000
8.1835980000	14.5209700000	14.5594300000
8.2080730000	14.4599400000	14.4988300000
8.2325900000	14.3866300000	14.4282200000
8.2571440000	14.2819000000	14.3205100000
8.2817100000	14.1799100000	14.2206900000
8.3062710000	14.1020000000	14.1427000000
8.3308260000	14.0577700000	14.0974100000
8.3553740000	13.9585200000	13.9985700000
8.3799010000	13.8800300000	13.9223100000
8.4044180000	13.8061900000	13.8469300000
8.4289280000	13.7073100000	13.7491800000
8.4535040000	13.6088400000	13.6462200000
8.4780510000	13.5588700000	13.6006000000
8.5025800000	13.4973500000	13.5366400000
8.5271380000	13.4409200000	13.4812100000
8.5516340000	13.3441700000	13.3869500000
8.5761560000	13.2757600000	13.3168800000
8.6006970000	13.1982800000	13.2399800000
8.6252590000	13.1246200000	13.1668200000
8.6498360000	13.0486900000	13.0896500000
8.6743760000	12.9776900000	13.0189100000
8.6989270000	12.9177000000	12.9594900000
8.7234500000	12.8535800000	12.8936700000
8.7479570000	12.7600600000	12.8012400000
8.7725210000	12.7048700000	12.7459700000
8.7970470000	12.6117300000	12.6535000000
8.8215410000	12.5676600000	12.6088000000
8.8460760000	12.5117400000	12.5526200000
8.8706410000	12.4646200000	12.5045900000
8.8951700000	12.4070000000	12.4504900000
8.9197130000	12.2964300000	12.3382700000
8.9442630000	12.2594600000	12.3033900000
8.9687720000	12.1896800000	12.2318200000
8.9933340000	12.1252700000	12.1655800000
9.0178950000	12.0649400000	12.1090100000
9.0424300000	12.0089400000	12.0505400000
9.0669700000	11.9308000000	11.9728600000
9.0915380000	11.9002800000	11.9418700000
9.1160630000	11.8212200000	11.8646900000
9.1405730000	11.7404600000	11.7814500000
9.1651400000	11.7213800000	11.7653900000
9.1896530000	11.6339800000	11.6757800000
9.2141760000	11.5668600000	11.6086500000
9.2387220000	11.5142900000	11.5578200000
9.2632520000	11.4735700000	11.5178000000
9.2878100000	11.4046700000	11.4483000000
9.3123630000	11.3471800000	11.3895800000
9.3368980000	11.3014700000	11.3445100000
9.3614280000	11.2555700000	11.2985200000
9.3859690000	11.1924100000	11.2340800000
9.4104960000	11.1231500000	11.1671800000
9.4350270000	11.0809500000	11.1216000000
9.4595770000	11.0266500000	11.0693800000
9.4840800000	10.9775600000	11.0228400000
9.5085990000	10.9211400000	10.9648100000
9.5331770000	10.8975900000	10.9406800000
9.5577400000	10.8330000000	10.8741200000
9.5822830000	10.7855400000	10.8300600000
9.6068250000	10.7169000000	10.7607500000
9.6313560000	10.6847600000	10.7288600000
9.6558810000	10.6264600000	10.6700400000
9.6804260000	10.5731900000	10.6162600000
9.7049420000	10.5310200000	10.5752500000
9.7294970000	10.4695300000	10.5123300000
9.7540460000	10.4320200000	10.4749400000
9.7785350000	10.3621600000	10.4061400000
9.8031030000	10.3246700000	10.3681300000
9.8276490000	10.2866700000	10.3306700000
9.8521800000	10.2364400000	10.2814000000
9.8767310000	10.1919400000	10.2364200000
9.9012840000	10.1356100000	10.1797900000
9.9258350000	10.0886900000	10.1333100000
9.9503500000	10.0386300000	10.0834900000
9.9749020000	10.0018900000	10.0467300000
9.9994290000	9.9609020000	10.0054700000
10.0239200000	9.9116550000	9.9542300000
10.0484900000	9.8926730000	9.9381390000
10.0730300000	9.8412740000	9.8859170000
10.0975600000	9.7946190000	9.8375730000
10.1220900000	9.7491670000	9.7934940000
10.1466400000	9.7143080000	9.7585040000
10.1712000000	9.6724050000	9.7151350000
10.1957200000	9.6260720000	9.6692630000
10.2202500000	9.5967290000	9.6414230000
10.2447900000	9.5559450000	9.6026710000
10.2693300000	9.5085290000	9.5520270000
10.2938600000	9.4692140000	9.5118060000
10.3184200000	9.4321280000	9.4749850000
10.3429600000	9.4005590000	9.4466850000
10.3674900000	9.3721010000	9.4176510000
10.3920300000	9.3295880000	9.3748210000
10.4165500000	9.3025270000	9.3445960000
10.4411100000	9.2510890000	9.2958130000
10.4657000000	9.2119540000	9.2574110000
10.4902100000	9.1650000000	9.2104230000
10.5147300000	9.1359230000	9.1794270000
10.5392500000	9.1047220000	9.1522510000
10.5638000000	9.0710830000	9.1152030000
10.5883500000	9.0399420000	9.0875690000
10.6128300000	8.9950010000	9.0384560000
10.6373900000	8.9654720000	9.0132440000
10.6619700000	8.9311790000	8.9785150000
10.6865000000	8.9132160000	8.9603490000
10.7110300000	8.8661770000	8.9109610000
10.7355500000	8.8387550000	8.8840080000
10.7601100000	8.8122100000	8.8591130000
10.7846600000	8.7885860000	8.8324000000
10.8091800000	8.7504180000	8.7966230000
10.8337000000	8.7151280000	8.7606770000
10.8582300000	8.6873450000	8.7332740000
10.8828200000	8.6487520000	8.6929650000
10.9073700000	8.6345590000	8.6807370000
10.9318900000	8.5906310000	8.6345110000
10.9564200000	8.5659720000	8.6123860000
10.9809600000	8.5455740000	8.5919350000
11.0055200000	8.5179030000	8.5626330000
11.0300500000	8.4774690000	8.5228190000
11.0545800000	8.4565610000	8.5022470000
11.0791100000	8.4260760000	8.4742590000
11.1036600000	8.4053750000	8.4522050000
11.1282100000	8.3787180000	8.4254540000
11.1527300000	8.3423630000	8.3902120000
11.1772600000	8.3297850000	8.3768220000
11.2018100000	8.3007480000	8.3481590000
11.2263400000	8.2746090000	8.3216290000
11.2508500000	8.2746060000	8.3223450000
11.2754100000	8.2257790000	8.2734560000
11.2999900000	8.2128730000	8.2603950000
11.3245100000	8.1976420000	8.2452270000
11.3490300000	8.1696980000	8.2174580000
11.3735700000	8.1535610000	8.2026810000
11.3981100000	8.1352200000	8.1851780000
11.4226500000	8.1050930000	8.1551770000
11.4471800000	8.0960970000	8.1461390000
11.4717400000	8.0729890000	8.1209030000
11.4962800000	8.0473830000	8.0969660000
11.5207900000	8.0390210000	8.0875990000
11.5453300000	8.0076620000	8.0560110000
11.5698800000	7.9874130000	8.0379250000
11.5944100000	7.9794790000	8.0300450000
11.6189500000	7.9474030000	7.9975880000
11.6434900000	7.9344410000	7.9850420000
11.6680400000	7.9174240000	7.9691180000
11.6925900000	7.9034380000	7.9553610000
11.7171200000	7.8961920000	7.9481230000
11.7416400000	7.8537930000	7.9043170000
11.7661900000	7.8634970000	7.9157770000
11.7907200000	7.8322360000	7.8847110000
11.8152500000	7.8241520000	7.8748580000
11.8397900000	7.8075630000	7.8586930000
11.8643500000	7.7940230000	7.8479440000
11.8888900000	7.7893250000	7.8421000000
11.9134300000	7.7775940000	7.8294060000
11.9379700000	7.7750480000	7.8295800000
11.9625100000	7.7535800000	7.8061220000
11.9870300000	7.7383750000	7.7936910000
12.0115600000	7.7246340000	7.7808790000
12.0361200000	7.7294470000	7.7831260000
12.0606500000	7.7065920000	7.7612040000
12.0851500000	7.7084810000	7.7620090000
12.1097100000	7.6924310000	7.7462330000
12.1342800000	7.6904060000	7.7448140000
12.1588100000	7.6755200000	7.7309660000
12.1833600000	7.6650370000	7.7190790000
12.2078700000	7.6692810000	7.7249790000
12.2324200000	7.6650850000	7.7200120000
12.2569600000	7.6587630000	7.7142950000
12.2814800000	7.6568070000	7.7141880000
12.3060200000	7.6551790000	7.7111750000
12.3305600000	7.6518430000	7.7069900000
12.3551200000	7.6485050000	7.7052710000
12.3796500000	7.6417210000	7.6974470000
12.4041900000	7.6358030000	7.6931020000
12.4287400000	7.6405760000	7.6960130000
12.4532500000	7.6436930000	7.6993860000
12.4778000000	7.6350410000	7.6921860000
12.5023500000	7.6480650000	7.7043790000
12.5268800000	7.6473220000	7.7048060000
12.5514300000	7.6513410000	7.7104900000
12.5759600000	7.6543790000	7.7116990000
12.6004900000	7.6231250000	7.6809060000
12.6250300000	7.5998640000	7.6583840000
12.6495800000	7.5792370000	7.6362890000
12.6741100000	7.5533570000	7.6108200000
12.6986400000	7.5224780000	7.5808760000
12.7231600000	7.4974840000	7.5550310000
12.7477300000	7.4860200000	7.5430450000
12.7722500000	7.4607410000	7.5178680000
12.7967700000	7.4351080000	7.4930610000
12.8213300000	7.4211960000	7.4791350000
12.8458700000	7.3962130000	7.4543280000
12.8704300000	7.3715010000	7.4287090000
12.8949500000	7.3539350000	7.4104380000
12.9195100000	7.3418520000	7.3994160000
12.9440300000	7.3134590000	7.3720220000
12.9685300000	7.2994350000	7.3591790000
12.9930900000	7.2698510000	7.3257470000
13.0176300000	7.2499040000	7.3054900000
13.0421700000	7.2269180000	7.2827040000
13.0667000000	7.2221620000	7.2785470000
13.0912300000	7.2103230000	7.2678240000
13.1157900000	7.1858480000	7.2427220000
13.1403400000	7.1697150000	7.2288690000
13.1648800000	7.1490090000	7.2060050000
13.1894000000	7.1182110000	7.1761880000
13.2139300000	7.1164760000	7.1746680000
13.2384800000	7.0823090000	7.1397810000
13.2630200000	7.0695770000	7.1271640000
13.2875700000	7.0519780000	7.1104740000
13.3121000000	7.0364850000	7.0941290000
13.3366200000	6.9976770000	7.0574440000
13.3611700000	6.9956180000	7.0533140000
13.3857000000	6.9708790000	7.0299020000
13.4102200000	6.9565750000	7.0148530000
13.4347600000	6.9378610000	6.9965710000
13.4593200000	6.9198080000	6.9789690000
13.4838900000	6.9081560000	6.9669230000
13.5084300000	6.8772070000	6.9353590000
13.5329300000	6.8698830000	6.9292230000
13.5574800000	6.8547180000	6.9116460000
13.5820300000	6.8363180000	6.8943160000
13.6065800000	6.8191130000	6.8784860000
13.6311100000	6.8061870000	6.8653160000
13.6556300000	6.7927650000	6.8525230000
13.6801900000	6.7782340000	6.8342730000
13.7047300000	6.7604910000	6.8209910000
13.7292400000	6.7423230000	6.7994960000
13.7538000000	6.7282980000	6.7876740000
13.7783600000	6.7219200000	6.7810810000
13.8028700000	6.6985910000	6.7556100000
13.8273700000	6.6763010000	6.7351380000
13.8519100000	6.6763300000	6.7315070000
13.8764800000	6.6591940000	6.7178020000
13.9010300000	6.6398590000	6.6968190000
13.9255700000	6.6271740000	6.6842750000
13.9501200000	6.6119220000	6.6726170000
13.9746400000	6.6074280000	6.6672020000
13.9991700000	6.5765510000	6.6341120000
14.0237200000	6.5811520000	6.6411140000
14.0482400000	6.5577350000	6.6197830000
14.0727800000	6.5499240000	6.6081610000
14.0973100000	6.5331930000	6.5925740000
14.1218300000	6.5176590000	6.5787860000
14.1463900000	6.5017380000	6.5629610000
14.1709400000	6.4978990000	6.5567390000
14.1954600000	6.4785350000	6.5398270000
14.2200100000	6.4688130000	6.5285580000
14.2445500000	6.4599580000	6.5180550000
14.2690800000	6.4480890000	6.5108520000
14.2936200000	6.4340750000	6.4961410000
14.3181800000	6.4238160000	6.4857740000
14.3427300000	6.4193000000	6.4801070000
14.3672400000	6.4102170000	6.4727560000
14.3917700000	6.4049430000	6.4655810000
14.4163300000	6.3842360000	6.4457650000
14.4408700000	6.3724070000	6.4319090000
14.4654100000	6.3708550000	6.4328540000
14.4899600000	6.3543520000	6.4162250000
14.5144800000	6.3387450000	6.4041520000
14.5390200000	6.3382860000	6.4010720000
14.5635600000	6.3152670000	6.3786370000
14.5880900000	6.3190340000	6.3827030000
14.6126200000	6.3067780000	6.3686420000
14.6371600000	6.2935470000	6.3561890000
14.6617100000	6.2859270000	6.3500290000
14.6862500000	6.2812300000	6.3438420000
14.7107800000	6.2770780000	6.3412090000
14.7353400000	6.2556310000	6.3206470000
14.7598700000	6.2557360000	6.3180480000
14.7843900000	6.2476570000	6.3116250000
14.8089400000	6.2377990000	6.3047790000
14.8334800000	6.2184750000	6.2834250000
14.8580200000	6.2199650000	6.2839230000
14.8825600000	6.2126280000	6.2758170000
14.9070800000	6.1982910000	6.2628020000
14.9316200000	6.1969030000	6.2616490000
14.9561800000	6.1954430000	6.2592530000
14.9807100000	6.1791310000	6.2454770000
15.0052500000	6.1766400000	6.2418020000
15.0298000000	6.1742510000	6.2395540000
15.0543400000	6.1573220000	6.2211480000
15.0788600000	6.1618030000	6.2263210000
15.1034200000	6.1581580000	6.2228110000
15.1279600000	6.1300030000	6.1957460000
15.1524600000	6.1474950000	6.2110590000
15.1770000000	6.1332140000	6.1968580000
15.2015700000	6.1287090000	6.1933790000
15.2261100000	6.1205070000	6.1853920000
15.2506300000	6.1250000000	6.1901080000
15.2751800000	6.1089240000	6.1732490000
15.2997200000	6.1075100000	6.1742110000
15.3242400000	6.1059910000	6.1727610000
15.3487700000	6.1005930000	6.1647980000
15.3733200000	6.0960450000	6.1631910000
15.3978600000	6.0814990000	6.1489430000
15.4224000000	6.0896680000	6.1577160000
15.4469400000	6.0886900000	6.1578060000
15.4714900000	6.0822060000	6.1498200000
15.4960300000	6.0814950000	6.1504180000
15.5205400000	6.0806690000	6.1467810000
15.5450600000	6.0827860000	6.1503800000
15.5696300000	6.0727720000	6.1410230000
15.5941800000	6.0620230000	6.1295260000
15.6187300000	6.0589190000	6.1292750000
15.6432700000	6.0717540000	6.1425960000
15.6678000000	6.0674800000	6.1358250000
15.6923300000	6.0685000000	6.1382100000
15.7168500000	6.0686820000	6.1377140000
15.7414100000	6.0602840000	6.1281010000
15.7659500000	6.0562780000	6.1246950000
15.7904900000	6.0661440000	6.1371490000
15.8150200000	6.0553920000	6.1244820000
15.8395500000	6.0705240000	6.1416390000
15.8640700000	6.0606740000	6.1321440000
15.8886100000	6.0621250000	6.1319060000
15.9131500000	6.0677920000	6.1379520000
15.9377000000	6.0624750000	6.1313840000
15.9622500000	6.0731750000	6.1454960000
15.9867700000	6.0807110000	6.1521190000
16.0113100000	6.0889950000	6.1602670000
16.0358600000	6.0764330000	6.1454450000
16.0604000000	6.0871830000	6.1579390000
16.0849300000	6.0838730000	6.1567330000
16.1094700000	6.0914120000	6.1626360000
16.1340000000	6.0961200000	6.1723530000
16.1585400000	6.0966270000	6.1702960000
16.1831000000	6.1056610000	6.1772350000
