# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.499799e+04	4.159693e+03	13.000000	0.000000e+00
5.890282e-02	1.098121e+04	1.911584e+03	33.000000	0.000000e+00
8.378087e-02	6.474916e+03	7.284850e+02	79.000000	0.000000e+00
1.087368e-01	4.976253e+03	4.600548e+02	117.000000	0.000000e+00
1.341836e-01	3.721273e+03	2.599050e+02	205.000000	0.000000e+00
1.581206e-01	2.746609e+03	1.791690e+02	235.000000	0.000000e+00
1.826843e-01	2.127071e+03	1.107309e+02	369.000000	0.000000e+00
2.073525e-01	1.961771e+03	9.427670e+01	433.000000	0.000000e+00
2.322407e-01	1.713164e+03	7.083061e+01	585.000000	0.000000e+00
2.568838e-01	1.444179e+03	5.542252e+01	679.000000	0.000000e+00
2.811185e-01	1.310218e+03	4.595136e+01	813.000000	0.000000e+00
3.057758e-01	1.160350e+03	3.697181e+01	985.000000	0.000000e+00
3.308750e-01	1.120235e+03	3.256992e+01	1183.000000	0.000000e+00
3.553459e-01	1.038549e+03	2.915386e+01	1269.000000	0.000000e+00
3.797184e-01	8.890913e+02	2.267824e+01	1537.000000	0.000000e+00
4.042043e-01	8.664062e+02	2.131008e+01	1653.000000	0.000000e+00
4.287408e-01	7.822436e+02	1.765557e+01	1963.000000	0.000000e+00
4.533372e-01	7.659137e+02	1.663066e+01	2121.000000	0.000000e+00
4.779960e-01	7.191684e+02	1.464037e+01	2413.000000	0.000000e+00
5.026630e-01	6.825636e+02	1.329697e+01	2635.000000	0.000000e+00
5.271488e-01	6.174104e+02	1.151076e+01	2877.000000	0.000000e+00
5.515428e-01	6.012324e+02	1.068025e+01	3169.000000	0.000000e+00
5.762241e-01	5.662499e+02	9.561813e+00	3507.000000	0.000000e+00
6.007286e-01	5.701053e+02	9.391530e+00	3685.000000	0.000000e+00
6.252569e-01	5.415785e+02	8.391776e+00	4165.000000	0.000000e+00
6.499966e-01	5.262638e+02	7.954543e+00	4377.000000	0.000000e+00
6.746858e-01	4.930865e+02	7.076663e+00	4855.000000	0.000000e+00
6.991271e-01	4.861214e+02	6.924131e+00	4929.000000	0.000000e+00
7.235757e-01	4.681190e+02	6.266142e+00	5581.000000	0.000000e+00
7.479714e-01	4.515919e+02	5.992530e+00	5679.000000	0.000000e+00
7.726133e-01	4.406307e+02	5.514350e+00	6385.000000	0.000000e+00
7.972413e-01	4.222760e+02	5.216465e+00	6553.000000	0.000000e+00
8.218513e-01	4.146326e+02	4.912144e+00	7125.000000	0.000000e+00
8.464491e-01	3.976909e+02	4.608450e+00	7447.000000	0.000000e+00
8.709767e-01	3.907075e+02	4.387757e+00	7929.000000	0.000000e+00
8.955547e-01	3.760103e+02	4.114135e+00	8353.000000	0.000000e+00
9.199772e-01	3.677565e+02	3.925878e+00	8775.000000	0.000000e+00
9.444963e-01	3.662443e+02	3.795124e+00	9313.000000	0.000000e+00
