# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	6.878150e+03	1.907656e+03	13.000000	0.000000e+00
5.890282e-02	5.127595e+03	8.925998e+02	33.000000	0.000000e+00
8.378087e-02	2.932280e+03	3.299073e+02	79.000000	0.000000e+00
1.087368e-01	2.260381e+03	2.089723e+02	117.000000	0.000000e+00
1.341836e-01	1.676255e+03	1.170747e+02	205.000000	0.000000e+00
1.581206e-01	1.171995e+03	7.645252e+01	235.000000	0.000000e+00
1.826843e-01	9.614130e+02	5.004916e+01	369.000000	0.000000e+00
2.073525e-01	8.047427e+02	3.867347e+01	433.000000	0.000000e+00
2.322407e-01	7.044868e+02	2.912694e+01	585.000000	0.000000e+00
2.568838e-01	6.016719e+02	2.309005e+01	679.000000	0.000000e+00
2.811185e-01	5.073714e+02	1.779429e+01	813.000000	0.000000e+00
3.057758e-01	4.469133e+02	1.423984e+01	985.000000	0.000000e+00
3.308750e-01	4.220255e+02	1.227005e+01	1183.000000	0.000000e+00
3.553459e-01	3.676845e+02	1.032154e+01	1269.000000	0.000000e+00
3.797184e-01	3.236871e+02	8.256356e+00	1537.000000	0.000000e+00
4.042043e-01	3.053105e+02	7.509402e+00	1653.000000	0.000000e+00
4.287408e-01	2.705436e+02	6.106285e+00	1963.000000	0.000000e+00
4.533372e-01	2.519177e+02	5.470012e+00	2121.000000	0.000000e+00
4.779960e-01	2.435043e+02	4.957103e+00	2413.000000	0.000000e+00
5.026630e-01	2.155997e+02	4.200083e+00	2635.000000	0.000000e+00
5.271488e-01	1.963038e+02	3.659811e+00	2877.000000	0.000000e+00
5.515428e-01	1.873899e+02	3.328780e+00	3169.000000	0.000000e+00
5.762241e-01	1.757458e+02	2.967679e+00	3507.000000	0.000000e+00
6.007286e-01	1.720941e+02	2.834962e+00	3685.000000	0.000000e+00
6.252569e-01	1.635280e+02	2.533872e+00	4165.000000	0.000000e+00
