# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[<P_0(k)> (Mpc/h)^3]
0.0347642200	6876.4910000000	6878.1500000000
0.0589028200	5128.5350000000	5127.5950000000
0.0837808700	2931.7010000000	2932.2800000000
0.1087368000	2260.3050000000	2260.3810000000
0.1341836000	1676.3840000000	1676.2550000000
0.1581206000	1171.9720000000	1171.9950000000
0.1826843000	961.3799000000	961.4130000000
0.2073525000	804.7350000000	804.7427000000
0.2322407000	704.3992000000	704.4868000000
0.2568838000	601.6574000000	601.6719000000
0.2811185000	507.4005000000	507.3714000000
0.3057758000	446.9819000000	446.9133000000
0.3308750000	421.9695000000	422.0255000000
0.3553459000	367.6573000000	367.6845000000
0.3797184000	323.6865000000	323.6871000000
0.4042043000	305.3206000000	305.3105000000
0.4287408000	270.5314000000	270.5436000000
0.4533372000	251.9309000000	251.9177000000
0.4779960000	243.5012000000	243.5043000000
0.5026630000	215.5953000000	215.5997000000
0.5271488000	196.2832000000	196.3038000000
0.5515428000	187.4008000000	187.3899000000
0.5762241000	175.7377000000	175.7458000000
0.6007286000	172.0920000000	172.0941000000
0.6252569000	163.5224000000	163.5280000000
0.6499966000	155.5116000000	155.5127000000
0.6746858000	148.4454000000	148.4419000000
0.6991271000	137.8763000000	137.8878000000
0.7235757000	134.8894000000	134.9009000000
0.7479714000	129.2976000000	129.2828000000
0.7726133000	124.1239000000	124.1297000000
0.7972413000	118.7197000000	118.6980000000
0.8218513000	113.5546000000	113.5818000000
0.8464491000	113.3099000000	113.2913000000
0.8709767000	108.0343000000	108.0448000000
0.8955547000	103.9915000000	103.9870000000
0.9199772000	101.4829000000	101.4897000000
0.9444963000	98.8787200000	98.8763100000
0.9690846000	95.4780300000	95.4827500000
0.9935517000	92.9035400000	92.9005200000
1.0180990000	91.7749700000	91.7735200000
1.0426790000	88.7004200000	88.6993400000
1.0673530000	86.0026100000	86.0112100000
1.0920040000	84.3174300000	84.3095100000
1.1165490000	80.5043800000	80.5001300000
1.1409670000	81.1185500000	81.1216600000
1.1654100000	77.4262900000	77.4309400000
1.1899420000	77.4915600000	77.4863400000
1.2143400000	74.5339100000	74.5349400000
1.2388240000	73.6610000000	73.6532500000
1.2636160000	70.8433400000	70.8495400000
1.2882780000	70.4855600000	70.4956300000
1.3126980000	69.0567900000	69.0501300000
1.3371290000	67.1480400000	67.1499100000
1.3618460000	66.6678400000	66.6705000000
1.3864590000	64.6725900000	64.6698800000
1.4107600000	63.5691900000	63.5804800000
1.4352940000	62.3449100000	62.3409800000
1.4599660000	60.8969900000	60.8996000000
1.4845530000	60.2386900000	60.2386400000
1.5090590000	59.0902800000	59.0948700000
1.5335650000	58.4839000000	58.4851900000
1.5582840000	56.8189300000	56.8181100000
1.5828180000	55.9385500000	55.9358900000
1.6072590000	54.9947900000	55.0063200000
1.6318090000	54.7437000000	54.7420100000
1.6563660000	53.6361600000	53.6428800000
1.6809250000	52.7164700000	52.7116800000
1.7052570000	51.1731600000	51.1795600000
1.7298060000	51.0378000000	51.0431900000
1.7544620000	49.4955600000	49.5004400000
1.7789920000	49.2046200000	49.2075400000
1.8034110000	49.0685100000	49.0768800000
1.8279630000	47.8448100000	47.8497000000
1.8526470000	47.3562200000	47.3634700000
1.8772490000	46.3661100000	46.3689800000
1.9017330000	46.1037800000	46.1080700000
1.9262410000	45.1878400000	45.1954900000
1.9508300000	44.0466400000	44.0542400000
1.9753080000	43.6467700000	43.6488300000
1.9997290000	43.3653200000	43.3623400000
2.0244190000	42.7139300000	42.7193100000
2.0491260000	41.9065300000	41.9089900000
2.0735080000	41.1944300000	41.2059300000
2.0978460000	40.7597500000	40.7620300000
2.1224730000	40.3392900000	40.3438600000
2.1471060000	39.8342800000	39.8420500000
2.1716010000	39.1191400000	39.1204500000
2.1961580000	38.4497200000	38.4496700000
2.2207350000	38.3638800000	38.3690000000
2.2452510000	37.7484000000	37.7523600000
2.2697290000	37.1539000000	37.1589200000
2.2942710000	36.4937800000	36.4967500000
2.3189280000	36.1305900000	36.1330600000
2.3435380000	35.6045100000	35.6138600000
2.3680260000	35.0636200000	35.0692600000
2.3924230000	34.6122200000	34.6190000000
2.4168630000	34.0032200000	34.0064200000
2.4415090000	33.4706800000	33.4701300000
2.4660800000	33.2472500000	33.2589200000
2.4905750000	32.7015800000	32.7069300000
2.5151860000	31.9925200000	31.9977800000
2.5397770000	31.7983000000	31.8088100000
