# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.499683e+04	4.159371e+03	13.000000	0.000000e+00
5.890282e-02	1.098217e+04	1.911750e+03	33.000000	0.000000e+00
8.378087e-02	6.474418e+03	7.284290e+02	79.000000	0.000000e+00
1.087368e-01	4.976188e+03	4.600487e+02	117.000000	0.000000e+00
1.341836e-01	3.721304e+03	2.599072e+02	205.000000	0.000000e+00
1.581206e-01	2.746542e+03	1.791647e+02	235.000000	0.000000e+00
1.826843e-01	2.127051e+03	1.107298e+02	369.000000	0.000000e+00
2.073525e-01	1.961743e+03	9.427534e+01	433.000000	0.000000e+00
2.322407e-01	1.713086e+03	7.082741e+01	585.000000	0.000000e+00
2.568838e-01	1.444154e+03	5.542155e+01	679.000000	0.000000e+00
2.811185e-01	1.310229e+03	4.595173e+01	813.000000	0.000000e+00
3.057758e-01	1.160447e+03	3.697490e+01	985.000000	0.000000e+00
3.308750e-01	1.120173e+03	3.256813e+01	1183.000000	0.000000e+00
3.553459e-01	1.038535e+03	2.915349e+01	1269.000000	0.000000e+00
3.797184e-01	8.890822e+02	2.267801e+01	1537.000000	0.000000e+00
4.042043e-01	8.663738e+02	2.130929e+01	1653.000000	0.000000e+00
4.287408e-01	7.822745e+02	1.765627e+01	1963.000000	0.000000e+00
4.533372e-01	7.659172e+02	1.663074e+01	2121.000000	0.000000e+00
4.779960e-01	7.191453e+02	1.463990e+01	2413.000000	0.000000e+00
5.026630e-01	6.825539e+02	1.329678e+01	2635.000000	0.000000e+00
5.271488e-01	6.173796e+02	1.151019e+01	2877.000000	0.000000e+00
5.515428e-01	6.012512e+02	1.068058e+01	3169.000000	0.000000e+00
5.762241e-01	5.662441e+02	9.561715e+00	3507.000000	0.000000e+00
6.007286e-01	5.701283e+02	9.391908e+00	3685.000000	0.000000e+00
6.252569e-01	5.416095e+02	8.392257e+00	4165.000000	0.000000e+00
6.499966e-01	5.262338e+02	7.954090e+00	4377.000000	0.000000e+00
6.746858e-01	4.930907e+02	7.076723e+00	4855.000000	0.000000e+00
6.991271e-01	4.861366e+02	6.924348e+00	4929.000000	0.000000e+00
7.235757e-01	4.680945e+02	6.265814e+00	5581.000000	0.000000e+00
7.479714e-01	4.515611e+02	5.992121e+00	5679.000000	0.000000e+00
7.726133e-01	4.406400e+02	5.514466e+00	6385.000000	0.000000e+00
7.972413e-01	4.222638e+02	5.216315e+00	6553.000000	0.000000e+00
8.218513e-01	4.146551e+02	4.912410e+00	7125.000000	0.000000e+00
8.464491e-01	3.976671e+02	4.608175e+00	7447.000000	0.000000e+00
8.709767e-01	3.907024e+02	4.387699e+00	7929.000000	0.000000e+00
8.955547e-01	3.760208e+02	4.114249e+00	8353.000000	0.000000e+00
9.199772e-01	3.677578e+02	3.925892e+00	8775.000000	0.000000e+00
9.444963e-01	3.662351e+02	3.795030e+00	9313.000000	0.000000e+00
9.690846e-01	3.571700e+02	3.600438e+00	9841.000000	0.000000e+00
9.935517e-01	3.492303e+02	3.459422e+00	10191.000000	0.000000e+00
1.018099e+00	3.412829e+02	3.269347e+00	10897.000000	0.000000e+00
1.042679e+00	3.324021e+02	3.126838e+00	11301.000000	0.000000e+00
1.067353e+00	3.233877e+02	2.949042e+00	12025.000000	0.000000e+00
1.092004e+00	3.146635e+02	2.823144e+00	12423.000000	0.000000e+00
1.116549e+00	3.082745e+02	2.701565e+00	13021.000000	0.000000e+00
1.140967e+00	3.044521e+02	2.629575e+00	13405.000000	0.000000e+00
1.165410e+00	2.942053e+02	2.464840e+00	14247.000000	0.000000e+00
1.189942e+00	2.844209e+02	2.349623e+00	14653.000000	0.000000e+00
1.214340e+00	2.837173e+02	2.291248e+00	15333.000000	0.000000e+00
1.238824e+00	2.774125e+02	2.196642e+00	15949.000000	0.000000e+00
1.263616e+00	2.685152e+02	2.055853e+00	17059.000000	0.000000e+00
1.288278e+00	2.644184e+02	2.022236e+00	17097.000000	0.000000e+00
1.312698e+00	2.579172e+02	1.924273e+00	17965.000000	0.000000e+00
1.337129e+00	2.521777e+02	1.852496e+00	18531.000000	0.000000e+00
1.361846e+00	2.498776e+02	1.781706e+00	19669.000000	0.000000e+00
1.386459e+00	2.437805e+02	1.728418e+00	19893.000000	0.000000e+00
1.410760e+00	2.379759e+02	1.662704e+00	20485.000000	0.000000e+00
1.435294e+00	2.378475e+02	1.612720e+00	21751.000000	0.000000e+00
1.459966e+00	2.304649e+02	1.546466e+00	22209.000000	0.000000e+00
1.484553e+00	2.267717e+02	1.493958e+00	23041.000000	0.000000e+00
1.509059e+00	2.241881e+02	1.456535e+00	23691.000000	0.000000e+00
1.533565e+00	2.176664e+02	1.391841e+00	24457.000000	0.000000e+00
1.558284e+00	2.172023e+02	1.352321e+00	25797.000000	0.000000e+00
1.582818e+00	2.126010e+02	1.328056e+00	25627.000000	0.000000e+00
1.607259e+00	2.083709e+02	1.263040e+00	27217.000000	0.000000e+00
1.631809e+00	2.041043e+02	1.229700e+00	27549.000000	0.000000e+00
1.656366e+00	2.000519e+02	1.178551e+00	28813.000000	0.000000e+00
1.680925e+00	1.979567e+02	1.155391e+00	29355.000000	0.000000e+00
1.705257e+00	1.930523e+02	1.116133e+00	29917.000000	0.000000e+00
1.729806e+00	1.904749e+02	1.070608e+00	31653.000000	0.000000e+00
1.754462e+00	1.870053e+02	1.046193e+00	31951.000000	0.000000e+00
1.778992e+00	1.820167e+02	1.001044e+00	33061.000000	0.000000e+00
1.803411e+00	1.792701e+02	9.780423e-01	33597.000000	0.000000e+00
1.827963e+00	1.782182e+02	9.499469e-01	35197.000000	0.000000e+00
1.852647e+00	1.731733e+02	9.149555e-01	35823.000000	0.000000e+00
1.877249e+00	1.715420e+02	8.924194e-01	36949.000000	0.000000e+00
1.901733e+00	1.674912e+02	8.671318e-01	37309.000000	0.000000e+00
1.926241e+00	1.643848e+02	8.315958e-01	39075.000000	0.000000e+00
1.950830e+00	1.623223e+02	8.180482e-01	39373.000000	0.000000e+00
1.975308e+00	1.609352e+02	7.964262e-01	40833.000000	0.000000e+00
1.999729e+00	1.583486e+02	7.800993e-01	41203.000000	0.000000e+00
2.024419e+00	1.542236e+02	7.378444e-01	43689.000000	0.000000e+00
2.049126e+00	1.516904e+02	7.271910e-01	43513.000000	0.000000e+00
2.073508e+00	1.506041e+02	7.144377e-01	44437.000000	0.000000e+00
2.097846e+00	1.482367e+02	6.937940e-01	45651.000000	0.000000e+00
2.122473e+00	1.450720e+02	6.657410e-01	47485.000000	0.000000e+00
2.147106e+00	1.430016e+02	6.529755e-01	47961.000000	0.000000e+00
2.171601e+00	1.409633e+02	6.358542e-01	49147.000000	0.000000e+00
2.196158e+00	1.382671e+02	6.163495e-01	50325.000000	0.000000e+00
2.220735e+00	1.365216e+02	6.007178e-01	51649.000000	0.000000e+00
2.245251e+00	1.348015e+02	5.902759e-01	52153.000000	0.000000e+00
2.269729e+00	1.329399e+02	5.723842e-01	53943.000000	0.000000e+00
2.294271e+00	1.310738e+02	5.604464e-01	54697.000000	0.000000e+00
2.318928e+00	1.283596e+02	5.388459e-01	56745.000000	0.000000e+00
2.343538e+00	1.264932e+02	5.297894e-01	57007.000000	0.000000e+00
2.368026e+00	1.248944e+02	5.165468e-01	58461.000000	0.000000e+00
2.392423e+00	1.215227e+02	5.001273e-01	59041.000000	0.000000e+00
2.416863e+00	1.198460e+02	4.851825e-01	61015.000000	0.000000e+00
2.441509e+00	1.191209e+02	4.759623e-01	62637.000000	0.000000e+00
2.466080e+00	1.169213e+02	4.652020e-01	63169.000000	0.000000e+00
2.490575e+00	1.151521e+02	4.530423e-01	64605.000000	0.000000e+00
2.515186e+00	1.137547e+02	4.411648e-01	66487.000000	0.000000e+00
2.539777e+00	1.125922e+02	4.348746e-01	67033.000000	0.000000e+00
2.564215e+00	1.110722e+02	4.251897e-01	68241.000000	0.000000e+00
2.588707e+00	1.094301e+02	4.136336e-01	69991.000000	0.000000e+00
