# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.500012e+04	4.160285e+03	13.000000	0.000000e+00
5.890282e-02	1.097944e+04	1.911275e+03	33.000000	0.000000e+00
8.378087e-02	6.475799e+03	7.285843e+02	79.000000	0.000000e+00
1.087368e-01	4.976400e+03	4.600683e+02	117.000000	0.000000e+00
1.341836e-01	3.721261e+03	2.599041e+02	205.000000	0.000000e+00
1.581206e-01	2.746658e+03	1.791722e+02	235.000000	0.000000e+00
1.826843e-01	2.127079e+03	1.107313e+02	369.000000	0.000000e+00
2.073525e-01	1.961811e+03	9.427860e+01	433.000000	0.000000e+00
2.322407e-01	1.713263e+03	7.083470e+01	585.000000	0.000000e+00
2.568838e-01	1.444168e+03	5.542209e+01	679.000000	0.000000e+00
2.811185e-01	1.310303e+03	4.595432e+01	813.000000	0.000000e+00
3.057758e-01	1.160250e+03	3.696862e+01	985.000000	0.000000e+00
3.308750e-01	1.120370e+03	3.257384e+01	1183.000000	0.000000e+00
3.553459e-01	1.038643e+03	2.915652e+01	1269.000000	0.000000e+00
3.797184e-01	8.891689e+02	2.268022e+01	1537.000000	0.000000e+00
4.042043e-01	8.665218e+02	2.131293e+01	1653.000000	0.000000e+00
4.287408e-01	7.821974e+02	1.765453e+01	1963.000000	0.000000e+00
4.533372e-01	7.659471e+02	1.663139e+01	2121.000000	0.000000e+00
4.779960e-01	7.192257e+02	1.464153e+01	2413.000000	0.000000e+00
5.026630e-01	6.825908e+02	1.329750e+01	2635.000000	0.000000e+00
5.271488e-01	6.174337e+02	1.151119e+01	2877.000000	0.000000e+00
5.515428e-01	6.012445e+02	1.068046e+01	3169.000000	0.000000e+00
5.762241e-01	5.663174e+02	9.562953e+00	3507.000000	0.000000e+00
6.007286e-01	5.701512e+02	9.392286e+00	3685.000000	0.000000e+00
6.252569e-01	5.415997e+02	8.392104e+00	4165.000000	0.000000e+00
6.499966e-01	5.263099e+02	7.955239e+00	4377.000000	0.000000e+00
6.746858e-01	4.930869e+02	7.076669e+00	4855.000000	0.000000e+00
6.991271e-01	4.861798e+02	6.924964e+00	4929.000000	0.000000e+00
7.235757e-01	4.681836e+02	6.267007e+00	5581.000000	0.000000e+00
7.479714e-01	4.516429e+02	5.993207e+00	5679.000000	0.000000e+00
7.726133e-01	4.406637e+02	5.514763e+00	6385.000000	0.000000e+00
7.972413e-01	4.223701e+02	5.217627e+00	6553.000000	0.000000e+00
8.218513e-01	4.146495e+02	4.912343e+00	7125.000000	0.000000e+00
8.464491e-01	3.977499e+02	4.609135e+00	7447.000000	0.000000e+00
8.709767e-01	3.907439e+02	4.388165e+00	7929.000000	0.000000e+00
8.955547e-01	3.760308e+02	4.114359e+00	8353.000000	0.000000e+00
9.199772e-01	3.678113e+02	3.926463e+00	8775.000000	0.000000e+00
9.444963e-01	3.663129e+02	3.795836e+00	9313.000000	0.000000e+00
9.690846e-01	3.572183e+02	3.600925e+00	9841.000000	0.000000e+00
9.935517e-01	3.493479e+02	3.460587e+00	10191.000000	0.000000e+00
1.018099e+00	3.413334e+02	3.269831e+00	10897.000000	0.000000e+00
1.042679e+00	3.325075e+02	3.127829e+00	11301.000000	0.000000e+00
1.067353e+00	3.234844e+02	2.949923e+00	12025.000000	0.000000e+00
1.092004e+00	3.146981e+02	2.823455e+00	12423.000000	0.000000e+00
1.116549e+00	3.083559e+02	2.702279e+00	13021.000000	0.000000e+00
1.140967e+00	3.045136e+02	2.630106e+00	13405.000000	0.000000e+00
1.165410e+00	2.942828e+02	2.465489e+00	14247.000000	0.000000e+00
1.189942e+00	2.845072e+02	2.350336e+00	14653.000000	0.000000e+00
1.214340e+00	2.838153e+02	2.292040e+00	15333.000000	0.000000e+00
1.238824e+00	2.774715e+02	2.197109e+00	15949.000000	0.000000e+00
1.263616e+00	2.686119e+02	2.056593e+00	17059.000000	0.000000e+00
1.288278e+00	2.645293e+02	2.023084e+00	17097.000000	0.000000e+00
1.312698e+00	2.579651e+02	1.924630e+00	17965.000000	0.000000e+00
1.337129e+00	2.522894e+02	1.853317e+00	18531.000000	0.000000e+00
