# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[<P_0(k)> (Mpc/h)^3]
0.0347642200	6876.4910000000	6880.6200000000
0.0589028200	5128.5350000000	5126.7820000000
0.0837808700	2931.7010000000	2933.1030000000
0.1087368000	2260.3050000000	2260.3290000000
0.1341836000	1676.3840000000	1676.1120000000
0.1581206000	1171.9720000000	1172.0380000000
0.1826843000	961.3799000000	961.4875000000
0.2073525000	804.7350000000	804.8182000000
0.2322407000	704.3992000000	704.6343000000
0.2568838000	601.6574000000	601.7180000000
0.2811185000	507.4005000000	507.3116000000
0.3057758000	446.9819000000	446.8717000000
0.3308750000	421.9695000000	422.1009000000
0.3553459000	367.6573000000	367.7547000000
0.3797184000	323.6865000000	323.7141000000
0.4042043000	305.3206000000	305.3149000000
0.4287408000	270.5314000000	270.5784000000
0.4533372000	251.9309000000	251.9416000000
0.4779960000	243.5012000000	243.5382000000
0.5026630000	215.5953000000	215.6583000000
0.5271488000	196.2832000000	196.3752000000
0.5515428000	187.4008000000	187.3960000000
0.5762241000	175.7377000000	175.7573000000
0.6007286000	172.0920000000	172.1297000000
0.6252569000	163.5224000000	163.5656000000
0.6499966000	155.5116000000	155.5261000000
0.6746858000	148.4454000000	148.4579000000
0.6991271000	137.8763000000	137.9080000000
0.7235757000	134.8894000000	134.9154000000
0.7479714000	129.2976000000	129.2718000000
0.7726133000	124.1239000000	124.1379000000
0.7972413000	118.7197000000	118.6715000000
0.8218513000	113.5546000000	113.6195000000
0.8464491000	113.3099000000	113.2786000000
0.8709767000	108.0343000000	108.0580000000
0.8955547000	103.9915000000	103.9817000000
0.9199772000	101.4829000000	101.5135000000
0.9444963000	98.8787200000	98.8896100000
0.9690846000	95.4780300000	95.5071500000
0.9935517000	92.9035400000	92.9010800000
1.0180990000	91.7749700000	91.7849100000
1.0426790000	88.7004200000	88.7080400000
1.0673530000	86.0026100000	86.0416500000
1.0920040000	84.3174300000	84.2957800000
1.1165490000	80.5043800000	80.4937800000
1.1409670000	81.1185500000	81.1258600000
1.1654100000	77.4262900000	77.4461000000
1.1899420000	77.4915600000	77.4857800000
1.2143400000	74.5339100000	74.5400900000
1.2388240000	73.6610000000	73.6665900000
1.2636160000	70.8433400000	70.8641200000
1.2882780000	70.4855600000	70.5188300000
1.3126980000	69.0567900000	69.0571900000
1.3371290000	67.1480400000	67.1576400000
1.3618460000	66.6678400000	66.6809600000
1.3864590000	64.6725900000	64.6812900000
1.4107600000	63.5691900000	63.6011100000
1.4352940000	62.3449100000	62.3441900000
1.4599660000	60.8969900000	60.9070400000
1.4845530000	60.2386900000	60.2508300000
1.5090590000	59.0902800000	59.1080300000
1.5335650000	58.4839000000	58.4969000000
1.5582840000	56.8189300000	56.8164700000
1.5828180000	55.9385500000	55.9436600000
1.6072590000	54.9947900000	55.0345700000
1.6318090000	54.7437000000	54.7516900000
1.6563660000	53.6361600000	53.6684000000
1.6809250000	52.7164700000	52.7093000000
1.7052570000	51.1731600000	51.1966000000
1.7298060000	51.0378000000	51.0701700000
1.7544620000	49.4955600000	49.5138700000
1.7789920000	49.2046200000	49.2226100000
1.8034110000	49.0685100000	49.0986400000
1.8279630000	47.8448100000	47.8619600000
1.8526470000	47.3562200000	47.3924900000
1.8772490000	46.3661100000	46.3859200000
1.9017330000	46.1037800000	46.1263600000
1.9262410000	45.1878400000	45.2214500000
1.9508300000	44.0466400000	44.0790900000
1.9753080000	43.6467700000	43.6642700000
1.9997290000	43.3653200000	43.3678400000
2.0244190000	42.7139300000	42.7353100000
2.0491260000	41.9065300000	41.9201400000
2.0735080000	41.1944300000	41.2434400000
2.0978460000	40.7597500000	40.7744900000
2.1224730000	40.3392900000	40.3681200000
2.1471060000	39.8342800000	39.8684000000
2.1716010000	39.1191400000	39.1329200000
2.1961580000	38.4497200000	38.4590200000
2.2207350000	38.3638800000	38.3963500000
2.2452510000	37.7484000000	37.7737000000
2.2697290000	37.1539000000	37.1832300000
2.2942710000	36.4937800000	36.5138100000
2.3189280000	36.1305900000	36.1400800000
2.3435380000	35.6045100000	35.6474400000
2.3680260000	35.0636200000	35.0968900000
2.3924230000	34.6122200000	34.6425200000
