# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	6.876491e+03	1.907196e+03	13.000000	0.000000e+00
5.890282e-02	5.128535e+03	8.927634e+02	33.000000	0.000000e+00
8.378087e-02	2.931701e+03	3.298422e+02	79.000000	0.000000e+00
1.087368e-01	2.260305e+03	2.089653e+02	117.000000	0.000000e+00
1.341836e-01	1.676384e+03	1.170838e+02	205.000000	0.000000e+00
1.581206e-01	1.171972e+03	7.645101e+01	235.000000	0.000000e+00
1.826843e-01	9.613799e+02	5.004744e+01	369.000000	0.000000e+00
2.073525e-01	8.047350e+02	3.867310e+01	433.000000	0.000000e+00
2.322407e-01	7.043992e+02	2.912332e+01	585.000000	0.000000e+00
2.568838e-01	6.016574e+02	2.308949e+01	679.000000	0.000000e+00
2.811185e-01	5.074005e+02	1.779531e+01	813.000000	0.000000e+00
3.057758e-01	4.469819e+02	1.424203e+01	985.000000	0.000000e+00
3.308750e-01	4.219695e+02	1.226842e+01	1183.000000	0.000000e+00
3.553459e-01	3.676573e+02	1.032078e+01	1269.000000	0.000000e+00
3.797184e-01	3.236865e+02	8.256342e+00	1537.000000	0.000000e+00
4.042043e-01	3.053206e+02	7.509649e+00	1653.000000	0.000000e+00
4.287408e-01	2.705314e+02	6.106010e+00	1963.000000	0.000000e+00
4.533372e-01	2.519309e+02	5.470300e+00	2121.000000	0.000000e+00
4.779960e-01	2.435012e+02	4.957041e+00	2413.000000	0.000000e+00
5.026630e-01	2.155953e+02	4.199998e+00	2635.000000	0.000000e+00
5.271488e-01	1.962832e+02	3.659428e+00	2877.000000	0.000000e+00
5.515428e-01	1.874008e+02	3.328974e+00	3169.000000	0.000000e+00
5.762241e-01	1.757377e+02	2.967543e+00	3507.000000	0.000000e+00
6.007286e-01	1.720920e+02	2.834927e+00	3685.000000	0.000000e+00
6.252569e-01	1.635224e+02	2.533784e+00	4165.000000	0.000000e+00
6.499966e-01	1.555116e+02	2.350577e+00	4377.000000	0.000000e+00
6.746858e-01	1.484454e+02	2.130454e+00	4855.000000	0.000000e+00
6.991271e-01	1.378763e+02	1.963859e+00	4929.000000	0.000000e+00
7.235757e-01	1.348894e+02	1.805601e+00	5581.000000	0.000000e+00
7.479714e-01	1.292976e+02	1.715752e+00	5679.000000	0.000000e+00
7.726133e-01	1.241239e+02	1.553370e+00	6385.000000	0.000000e+00
7.972413e-01	1.187197e+02	1.466569e+00	6553.000000	0.000000e+00
8.218513e-01	1.135546e+02	1.345279e+00	7125.000000	0.000000e+00
8.464491e-01	1.133099e+02	1.313037e+00	7447.000000	0.000000e+00
8.709767e-01	1.080343e+02	1.213257e+00	7929.000000	0.000000e+00
8.955547e-01	1.039915e+02	1.137828e+00	8353.000000	0.000000e+00
9.199772e-01	1.014829e+02	1.083351e+00	8775.000000	0.000000e+00
9.444963e-01	9.887872e+01	1.024609e+00	9313.000000	0.000000e+00
9.690846e-01	9.547803e+01	9.624626e-01	9841.000000	0.000000e+00
9.935517e-01	9.290354e+01	9.202882e-01	10191.000000	0.000000e+00
1.018099e+00	9.177497e+01	8.791658e-01	10897.000000	0.000000e+00
1.042679e+00	8.870042e+01	8.343864e-01	11301.000000	0.000000e+00
1.067353e+00	8.600261e+01	7.842763e-01	12025.000000	0.000000e+00
1.092004e+00	8.431743e+01	7.564916e-01	12423.000000	0.000000e+00
1.116549e+00	8.050438e+01	7.055006e-01	13021.000000	0.000000e+00
1.140967e+00	8.111855e+01	7.006268e-01	13405.000000	0.000000e+00
1.165410e+00	7.742629e+01	6.486744e-01	14247.000000	0.000000e+00
1.189942e+00	7.749156e+01	6.401638e-01	14653.000000	0.000000e+00
1.214340e+00	7.453391e+01	6.019222e-01	15333.000000	0.000000e+00
1.238824e+00	7.366100e+01	5.832717e-01	15949.000000	0.000000e+00
1.263616e+00	7.084334e+01	5.424032e-01	17059.000000	0.000000e+00
1.288278e+00	7.048556e+01	5.390638e-01	17097.000000	0.000000e+00
1.312698e+00	6.905679e+01	5.152201e-01	17965.000000	0.000000e+00
1.337129e+00	6.714804e+01	4.932691e-01	18531.000000	0.000000e+00
1.361846e+00	6.666784e+01	4.753629e-01	19669.000000	0.000000e+00
1.386459e+00	6.467259e+01	4.585325e-01	19893.000000	0.000000e+00
1.410760e+00	6.356919e+01	4.441490e-01	20485.000000	0.000000e+00
1.435294e+00	6.234491e+01	4.227284e-01	21751.000000	0.000000e+00
1.459966e+00	6.089699e+01	4.086310e-01	22209.000000	0.000000e+00
1.484553e+00	6.023869e+01	3.968486e-01	23041.000000	0.000000e+00
1.509059e+00	5.909028e+01	3.839055e-01	23691.000000	0.000000e+00
1.533565e+00	5.848390e+01	3.739683e-01	24457.000000	0.000000e+00
1.558284e+00	5.681893e+01	3.537598e-01	25797.000000	0.000000e+00
1.582818e+00	5.593855e+01	3.494317e-01	25627.000000	0.000000e+00
1.607259e+00	5.499479e+01	3.333507e-01	27217.000000	0.000000e+00
1.631809e+00	5.474370e+01	3.298232e-01	27549.000000	0.000000e+00
1.656366e+00	5.363616e+01	3.159828e-01	28813.000000	0.000000e+00
1.680925e+00	5.271647e+01	3.076843e-01	29355.000000	0.000000e+00
1.705257e+00	5.117316e+01	2.958579e-01	29917.000000	0.000000e+00
1.729806e+00	5.103780e+01	2.868696e-01	31653.000000	0.000000e+00
1.754462e+00	4.949556e+01	2.769007e-01	31951.000000	0.000000e+00
1.778992e+00	4.920462e+01	2.706125e-01	33061.000000	0.000000e+00
1.803411e+00	4.906851e+01	2.677026e-01	33597.000000	0.000000e+00
1.827963e+00	4.784481e+01	2.550246e-01	35197.000000	0.000000e+00
1.852647e+00	4.735622e+01	2.502050e-01	35823.000000	0.000000e+00
1.877249e+00	4.636611e+01	2.412122e-01	36949.000000	0.000000e+00
1.901733e+00	4.610378e+01	2.386876e-01	37309.000000	0.000000e+00
1.926241e+00	4.518784e+01	2.285978e-01	39075.000000	0.000000e+00
1.950830e+00	4.404664e+01	2.219798e-01	39373.000000	0.000000e+00
1.975308e+00	4.364677e+01	2.159964e-01	40833.000000	0.000000e+00
1.999729e+00	4.336532e+01	2.136378e-01	41203.000000	0.000000e+00
2.024419e+00	4.271393e+01	2.043542e-01	43689.000000	0.000000e+00
2.049126e+00	4.190653e+01	2.008964e-01	43513.000000	0.000000e+00
2.073508e+00	4.119443e+01	1.954187e-01	44437.000000	0.000000e+00
2.097846e+00	4.075975e+01	1.907684e-01	45651.000000	0.000000e+00
2.122473e+00	4.033929e+01	1.851186e-01	47485.000000	0.000000e+00
2.147106e+00	3.983428e+01	1.818917e-01	47961.000000	0.000000e+00
2.171601e+00	3.911914e+01	1.764578e-01	49147.000000	0.000000e+00
2.196158e+00	3.844972e+01	1.713963e-01	50325.000000	0.000000e+00
2.220735e+00	3.836388e+01	1.688074e-01	51649.000000	0.000000e+00
2.245251e+00	3.774840e+01	1.652947e-01	52153.000000	0.000000e+00
2.269729e+00	3.715390e+01	1.599694e-01	53943.000000	0.000000e+00
2.294271e+00	3.649378e+01	1.560404e-01	54697.000000	0.000000e+00
2.318928e+00	3.613059e+01	1.516740e-01	56745.000000	0.000000e+00
2.343538e+00	3.560451e+01	1.491217e-01	57007.000000	0.000000e+00
2.368026e+00	3.506362e+01	1.450186e-01	58461.000000	0.000000e+00
2.392423e+00	3.461222e+01	1.424468e-01	59041.000000	0.000000e+00
2.416863e+00	3.400322e+01	1.376581e-01	61015.000000	0.000000e+00
2.441509e+00	3.347068e+01	1.337362e-01	62637.000000	0.000000e+00
2.466080e+00	3.324725e+01	1.322829e-01	63169.000000	0.000000e+00
2.490575e+00	3.270158e+01	1.286577e-01	64605.000000	0.000000e+00
2.515186e+00	3.199252e+01	1.240738e-01	66487.000000	0.000000e+00
2.539777e+00	3.179830e+01	1.228173e-01	67033.000000	0.000000e+00
2.564215e+00	3.140566e+01	1.202224e-01	68241.000000	0.000000e+00
2.588707e+00	3.085975e+01	1.166464e-01	69991.000000	0.000000e+00
2.613337e+00	3.061818e+01	1.145015e-01	71505.000000	0.000000e+00
2.637925e+00	3.034704e+01	1.125440e-01	72709.000000	0.000000e+00
2.662420e+00	2.992819e+01	1.104121e-01	73473.000000	0.000000e+00
2.686963e+00	2.959256e+01	1.075112e-01	75763.000000	0.000000e+00
2.711515e+00	2.932815e+01	1.062022e-01	76261.000000	0.000000e+00
2.735982e+00	2.900247e+01	1.038555e-01	77985.000000	0.000000e+00
2.760573e+00	2.859243e+01	1.010826e-01	80011.000000	0.000000e+00
2.785237e+00	2.823425e+01	9.919953e-02	81009.000000	0.000000e+00
2.809671e+00	2.784270e+01	9.746835e-02	81601.000000	0.000000e+00
2.834151e+00	2.746054e+01	9.470223e-02	84081.000000	0.000000e+00
2.858722e+00	2.722178e+01	9.328273e-02	85159.000000	0.000000e+00
2.883250e+00	2.678242e+01	9.097625e-02	86665.000000	0.000000e+00
2.907819e+00	2.645803e+01	8.901769e-02	88341.000000	0.000000e+00
2.932335e+00	2.615988e+01	8.745309e-02	89479.000000	0.000000e+00
2.956914e+00	2.581472e+01	8.533103e-02	91521.000000	0.000000e+00
2.981449e+00	2.558184e+01	8.414668e-02	92425.000000	0.000000e+00
3.005876e+00	2.538824e+01	8.299336e-02	93579.000000	0.000000e+00
3.030403e+00	2.494517e+01	8.038427e-02	96301.000000	0.000000e+00
3.055041e+00	2.451379e+01	7.844381e-02	97657.000000	0.000000e+00
3.079692e+00	2.430748e+01	7.710136e-02	99393.000000	0.000000e+00
3.104241e+00	2.385027e+01	7.534774e-02	100195.000000	0.000000e+00
3.128710e+00	2.379483e+01	7.461102e-02	101709.000000	0.000000e+00
3.153123e+00	2.339520e+01	7.288931e-02	103021.000000	0.000000e+00
3.177619e+00	2.328656e+01	7.165706e-02	105607.000000	0.000000e+00
3.202185e+00	2.283602e+01	6.987414e-02	106809.000000	0.000000e+00
3.226708e+00	2.268921e+01	6.884597e-02	108613.000000	0.000000e+00
3.251321e+00	2.243115e+01	6.739363e-02	110781.000000	0.000000e+00
3.275882e+00	2.208026e+01	6.608279e-02	111643.000000	0.000000e+00
3.300393e+00	2.165438e+01	6.423032e-02	113661.000000	0.000000e+00
3.324955e+00	2.170639e+01	6.393615e-02	115261.000000	0.000000e+00
3.349528e+00	2.144687e+01	6.257360e-02	117475.000000	0.000000e+00
3.374087e+00	2.110912e+01	6.135000e-02	118389.000000	0.000000e+00
3.398541e+00	2.100123e+01	6.062205e-02	120013.000000	0.000000e+00
