# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	6.880620e+03	1.908341e+03	13.000000	0.000000e+00
5.890282e-02	5.126782e+03	8.924582e+02	33.000000	0.000000e+00
8.378087e-02	2.933103e+03	3.299999e+02	79.000000	0.000000e+00
1.087368e-01	2.260329e+03	2.089674e+02	117.000000	0.000000e+00
1.341836e-01	1.676112e+03	1.170647e+02	205.000000	0.000000e+00
1.581206e-01	1.172038e+03	7.645533e+01	235.000000	0.000000e+00
1.826843e-01	9.614875e+02	5.005304e+01	369.000000	0.000000e+00
2.073525e-01	8.048182e+02	3.867710e+01	433.000000	0.000000e+00
2.322407e-01	7.046343e+02	2.913304e+01	585.000000	0.000000e+00
2.568838e-01	6.017180e+02	2.309182e+01	679.000000	0.000000e+00
2.811185e-01	5.073116e+02	1.779220e+01	813.000000	0.000000e+00
3.057758e-01	4.468717e+02	1.423852e+01	985.000000	0.000000e+00
3.308750e-01	4.221009e+02	1.227224e+01	1183.000000	0.000000e+00
3.553459e-01	3.677547e+02	1.032351e+01	1269.000000	0.000000e+00
3.797184e-01	3.237141e+02	8.257047e+00	1537.000000	0.000000e+00
4.042043e-01	3.053149e+02	7.509509e+00	1653.000000	0.000000e+00
4.287408e-01	2.705784e+02	6.107071e+00	1963.000000	0.000000e+00
4.533372e-01	2.519416e+02	5.470533e+00	2121.000000	0.000000e+00
4.779960e-01	2.435382e+02	4.957794e+00	2413.000000	0.000000e+00
5.026630e-01	2.156583e+02	4.201224e+00	2635.000000	0.000000e+00
5.271488e-01	1.963752e+02	3.661143e+00	2877.000000	0.000000e+00
5.515428e-01	1.873960e+02	3.328887e+00	3169.000000	0.000000e+00
5.762241e-01	1.757573e+02	2.967875e+00	3507.000000	0.000000e+00
6.007286e-01	1.721297e+02	2.835548e+00	3685.000000	0.000000e+00
6.252569e-01	1.635656e+02	2.534455e+00	4165.000000	0.000000e+00
6.499966e-01	1.555261e+02	2.350796e+00	4377.000000	0.000000e+00
6.746858e-01	1.484579e+02	2.130634e+00	4855.000000	0.000000e+00
6.991271e-01	1.379080e+02	1.964311e+00	4929.000000	0.000000e+00
7.235757e-01	1.349154e+02	1.805949e+00	5581.000000	0.000000e+00
7.479714e-01	1.292718e+02	1.715409e+00	5679.000000	0.000000e+00
7.726133e-01	1.241379e+02	1.553545e+00	6385.000000	0.000000e+00
7.972413e-01	1.186715e+02	1.465974e+00	6553.000000	0.000000e+00
8.218513e-01	1.136195e+02	1.346048e+00	7125.000000	0.000000e+00
8.464491e-01	1.132786e+02	1.312675e+00	7447.000000	0.000000e+00
8.709767e-01	1.080580e+02	1.213523e+00	7929.000000	0.000000e+00
8.955547e-01	1.039817e+02	1.137721e+00	8353.000000	0.000000e+00
9.199772e-01	1.015135e+02	1.083677e+00	8775.000000	0.000000e+00
9.444963e-01	9.888961e+01	1.024722e+00	9313.000000	0.000000e+00
9.690846e-01	9.550715e+01	9.627561e-01	9841.000000	0.000000e+00
9.935517e-01	9.290108e+01	9.202638e-01	10191.000000	0.000000e+00
1.018099e+00	9.178491e+01	8.792610e-01	10897.000000	0.000000e+00
1.042679e+00	8.870804e+01	8.344581e-01	11301.000000	0.000000e+00
1.067353e+00	8.604165e+01	7.846323e-01	12025.000000	0.000000e+00
1.092004e+00	8.429578e+01	7.562973e-01	12423.000000	0.000000e+00
1.116549e+00	8.049378e+01	7.054076e-01	13021.000000	0.000000e+00
1.140967e+00	8.112586e+01	7.006900e-01	13405.000000	0.000000e+00
1.165410e+00	7.744610e+01	6.488403e-01	14247.000000	0.000000e+00
1.189942e+00	7.748578e+01	6.401160e-01	14653.000000	0.000000e+00
1.214340e+00	7.454009e+01	6.019721e-01	15333.000000	0.000000e+00
1.238824e+00	7.366659e+01	5.833160e-01	15949.000000	0.000000e+00
1.263616e+00	7.086412e+01	5.425623e-01	17059.000000	0.000000e+00
1.288278e+00	7.051883e+01	5.393183e-01	17097.000000	0.000000e+00
1.312698e+00	6.905719e+01	5.152231e-01	17965.000000	0.000000e+00
1.337129e+00	6.715764e+01	4.933396e-01	18531.000000	0.000000e+00
1.361846e+00	6.668096e+01	4.754564e-01	19669.000000	0.000000e+00
1.386459e+00	6.468129e+01	4.585942e-01	19893.000000	0.000000e+00
1.410760e+00	6.360111e+01	4.443720e-01	20485.000000	0.000000e+00
1.435294e+00	6.234419e+01	4.227235e-01	21751.000000	0.000000e+00
1.459966e+00	6.090704e+01	4.086984e-01	22209.000000	0.000000e+00
1.484553e+00	6.025083e+01	3.969286e-01	23041.000000	0.000000e+00
1.509059e+00	5.910803e+01	3.840208e-01	23691.000000	0.000000e+00
1.533565e+00	5.849690e+01	3.740514e-01	24457.000000	0.000000e+00
1.558284e+00	5.681647e+01	3.537445e-01	25797.000000	0.000000e+00
1.582818e+00	5.594366e+01	3.494636e-01	25627.000000	0.000000e+00
1.607259e+00	5.503457e+01	3.335919e-01	27217.000000	0.000000e+00
1.631809e+00	5.475169e+01	3.298714e-01	27549.000000	0.000000e+00
1.656366e+00	5.366840e+01	3.161727e-01	28813.000000	0.000000e+00
1.680925e+00	5.270930e+01	3.076424e-01	29355.000000	0.000000e+00
1.705257e+00	5.119660e+01	2.959934e-01	29917.000000	0.000000e+00
1.729806e+00	5.107017e+01	2.870515e-01	31653.000000	0.000000e+00
1.754462e+00	4.951387e+01	2.770031e-01	31951.000000	0.000000e+00
1.778992e+00	4.922261e+01	2.707115e-01	33061.000000	0.000000e+00
1.803411e+00	4.909864e+01	2.678670e-01	33597.000000	0.000000e+00
1.827963e+00	4.786196e+01	2.551160e-01	35197.000000	0.000000e+00
1.852647e+00	4.739249e+01	2.503967e-01	35823.000000	0.000000e+00
1.877249e+00	4.638592e+01	2.413153e-01	36949.000000	0.000000e+00
1.901733e+00	4.612636e+01	2.388044e-01	37309.000000	0.000000e+00
1.926241e+00	4.522145e+01	2.287678e-01	39075.000000	0.000000e+00
1.950830e+00	4.407909e+01	2.221434e-01	39373.000000	0.000000e+00
1.975308e+00	4.366427e+01	2.160830e-01	40833.000000	0.000000e+00
1.999729e+00	4.336784e+01	2.136502e-01	41203.000000	0.000000e+00
2.024419e+00	4.273531e+01	2.044564e-01	43689.000000	0.000000e+00
2.049126e+00	4.192014e+01	2.009617e-01	43513.000000	0.000000e+00
2.073508e+00	4.124344e+01	1.956512e-01	44437.000000	0.000000e+00
2.097846e+00	4.077449e+01	1.908374e-01	45651.000000	0.000000e+00
2.122473e+00	4.036812e+01	1.852509e-01	47485.000000	0.000000e+00
2.147106e+00	3.986840e+01	1.820475e-01	47961.000000	0.000000e+00
2.171601e+00	3.913292e+01	1.765199e-01	49147.000000	0.000000e+00
2.196158e+00	3.845902e+01	1.714377e-01	50325.000000	0.000000e+00
2.220735e+00	3.839635e+01	1.689503e-01	51649.000000	0.000000e+00
2.245251e+00	3.777370e+01	1.654055e-01	52153.000000	0.000000e+00
2.269729e+00	3.718323e+01	1.600956e-01	53943.000000	0.000000e+00
2.294271e+00	3.651381e+01	1.561261e-01	54697.000000	0.000000e+00
2.318928e+00	3.614008e+01	1.517139e-01	56745.000000	0.000000e+00
2.343538e+00	3.564744e+01	1.493015e-01	57007.000000	0.000000e+00
2.368026e+00	3.509689e+01	1.451562e-01	58461.000000	0.000000e+00
2.392423e+00	3.464252e+01	1.425715e-01	59041.000000	0.000000e+00
2.416863e+00	3.402960e+01	1.377649e-01	61015.000000	0.000000e+00
2.441509e+00	3.348250e+01	1.337834e-01	62637.000000	0.000000e+00
2.466080e+00	3.329172e+01	1.324599e-01	63169.000000	0.000000e+00
2.490575e+00	3.273392e+01	1.287849e-01	64605.000000	0.000000e+00
2.515186e+00	3.201544e+01	1.241627e-01	66487.000000	0.000000e+00
2.539777e+00	3.183705e+01	1.229670e-01	67033.000000	0.000000e+00
2.564215e+00	3.144956e+01	1.203904e-01	68241.000000	0.000000e+00
2.588707e+00	3.088024e+01	1.167238e-01	69991.000000	0.000000e+00
2.613337e+00	3.064731e+01	1.146104e-01	71505.000000	0.000000e+00
2.637925e+00	3.037507e+01	1.126479e-01	72709.000000	0.000000e+00
2.662420e+00	2.995688e+01	1.105179e-01	73473.000000	0.000000e+00
2.686963e+00	2.962005e+01	1.076111e-01	75763.000000	0.000000e+00
2.711515e+00	2.936373e+01	1.063310e-01	76261.000000	0.000000e+00
2.735982e+00	2.904581e+01	1.040107e-01	77985.000000	0.000000e+00
2.760573e+00	2.863019e+01	1.012161e-01	80011.000000	0.000000e+00
2.785237e+00	2.826306e+01	9.930076e-02	81009.000000	0.000000e+00
2.809671e+00	2.787723e+01	9.758921e-02	81601.000000	0.000000e+00
2.834151e+00	2.749748e+01	9.482962e-02	84081.000000	0.000000e+00
2.858722e+00	2.725507e+01	9.339681e-02	85159.000000	0.000000e+00
2.883250e+00	2.682047e+01	9.110550e-02	86665.000000	0.000000e+00
2.907819e+00	2.648682e+01	8.911455e-02	88341.000000	0.000000e+00
2.932335e+00	2.620373e+01	8.759967e-02	89479.000000	0.000000e+00
2.956914e+00	2.585827e+01	8.547500e-02	91521.000000	0.000000e+00
2.981449e+00	2.562876e+01	8.430101e-02	92425.000000	0.000000e+00
3.005876e+00	2.542649e+01	8.311839e-02	93579.000000	0.000000e+00
3.030403e+00	2.497776e+01	8.048930e-02	96301.000000	0.000000e+00
3.055041e+00	2.455170e+01	7.856514e-02	97657.000000	0.000000e+00
3.079692e+00	2.433773e+01	7.719730e-02	99393.000000	0.000000e+00
