# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.501467e+04	4.164320e+03	13.000000	0.000000e+00
5.890282e-02	1.096875e+04	1.909414e+03	33.000000	0.000000e+00
8.378087e-02	6.481763e+03	7.292553e+02	79.000000	0.000000e+00
1.087368e-01	4.977334e+03	4.601547e+02	117.000000	0.000000e+00
1.341836e-01	3.721164e+03	2.598974e+02	205.000000	0.000000e+00
1.581206e-01	2.747145e+03	1.792040e+02	235.000000	0.000000e+00
1.826843e-01	2.127323e+03	1.107440e+02	369.000000	0.000000e+00
2.073525e-01	1.962240e+03	9.429925e+01	433.000000	0.000000e+00
2.322407e-01	1.714177e+03	7.087248e+01	585.000000	0.000000e+00
2.568838e-01	1.444390e+03	5.543061e+01	679.000000	0.000000e+00
2.811185e-01	1.310807e+03	4.597200e+01	813.000000	0.000000e+00
3.057758e-01	1.159814e+03	3.695475e+01	985.000000	0.000000e+00
3.308750e-01	1.121381e+03	3.260325e+01	1183.000000	0.000000e+00
3.553459e-01	1.039394e+03	2.917759e+01	1269.000000	0.000000e+00
3.797184e-01	8.898198e+02	2.269683e+01	1537.000000	0.000000e+00
4.042043e-01	8.673894e+02	2.133427e+01	1653.000000	0.000000e+00
4.287408e-01	7.822288e+02	1.765524e+01	1963.000000	0.000000e+00
4.533372e-01	7.663895e+02	1.664099e+01	2121.000000	0.000000e+00
4.779960e-01	7.199353e+02	1.465598e+01	2413.000000	0.000000e+00
5.026630e-01	6.830847e+02	1.330712e+01	2635.000000	0.000000e+00
5.271488e-01	6.180455e+02	1.152260e+01	2877.000000	0.000000e+00
5.515428e-01	6.016539e+02	1.068773e+01	3169.000000	0.000000e+00
5.762241e-01	5.669969e+02	9.574428e+00	3507.000000	0.000000e+00
6.007286e-01	5.706656e+02	9.400760e+00	3685.000000	0.000000e+00
6.252569e-01	5.420372e+02	8.398884e+00	4165.000000	0.000000e+00
6.499966e-01	5.270440e+02	7.966335e+00	4377.000000	0.000000e+00
6.746858e-01	4.935277e+02	7.082995e+00	4855.000000	0.000000e+00
6.991271e-01	4.868246e+02	6.934149e+00	4929.000000	0.000000e+00
7.235757e-01	4.690507e+02	6.278613e+00	5581.000000	0.000000e+00
7.479714e-01	4.524737e+02	6.004231e+00	5679.000000	0.000000e+00
7.726133e-01	4.413063e+02	5.522804e+00	6385.000000	0.000000e+00
7.972413e-01	4.233501e+02	5.229733e+00	6553.000000	0.000000e+00
8.218513e-01	4.152259e+02	4.919172e+00	7125.000000	0.000000e+00
8.464491e-01	3.986109e+02	4.619111e+00	7447.000000	0.000000e+00
8.709767e-01	3.914858e+02	4.396497e+00	7929.000000	0.000000e+00
8.955547e-01	3.766331e+02	4.120949e+00	8353.000000	0.000000e+00
9.199772e-01	3.686370e+02	3.935278e+00	8775.000000	0.000000e+00
9.444963e-01	3.672568e+02	3.805617e+00	9313.000000	0.000000e+00
9.690846e-01	3.580677e+02	3.609488e+00	9841.000000	0.000000e+00
9.935517e-01	3.504830e+02	3.471831e+00	10191.000000	0.000000e+00
1.018099e+00	3.422125e+02	3.278253e+00	10897.000000	0.000000e+00
1.042679e+00	3.335955e+02	3.138064e+00	11301.000000	0.000000e+00
1.067353e+00	3.245705e+02	2.959829e+00	12025.000000	0.000000e+00
1.092004e+00	3.155544e+02	2.831138e+00	12423.000000	0.000000e+00
1.116549e+00	3.094096e+02	2.711512e+00	13021.000000	0.000000e+00
1.140967e+00	3.055553e+02	2.639103e+00	13405.000000	0.000000e+00
1.165410e+00	2.953857e+02	2.474729e+00	14247.000000	0.000000e+00
1.189942e+00	2.856431e+02	2.359720e+00	14653.000000	0.000000e+00
1.214340e+00	2.849987e+02	2.301597e+00	15333.000000	0.000000e+00
1.238824e+00	2.785433e+02	2.205596e+00	15949.000000	0.000000e+00
1.263616e+00	2.698479e+02	2.066056e+00	17059.000000	0.000000e+00
1.288278e+00	2.658352e+02	2.033071e+00	17097.000000	0.000000e+00
1.312698e+00	2.590392e+02	1.932644e+00	17965.000000	0.000000e+00
1.337129e+00	2.536118e+02	1.863031e+00	18531.000000	0.000000e+00
1.361846e+00	2.511521e+02	1.790794e+00	19669.000000	0.000000e+00
1.386459e+00	2.451631e+02	1.738221e+00	19893.000000	0.000000e+00
1.410760e+00	2.391506e+02	1.670912e+00	20485.000000	0.000000e+00
1.435294e+00	2.391298e+02	1.621415e+00	21751.000000	0.000000e+00
1.459966e+00	2.318983e+02	1.556084e+00	22209.000000	0.000000e+00
1.484553e+00	2.281756e+02	1.503206e+00	23041.000000	0.000000e+00
1.509059e+00	2.255607e+02	1.465452e+00	23691.000000	0.000000e+00
1.533565e+00	2.190416e+02	1.400635e+00	24457.000000	0.000000e+00
1.558284e+00	2.187872e+02	1.362189e+00	25797.000000	0.000000e+00
1.582818e+00	2.141488e+02	1.337725e+00	25627.000000	0.000000e+00
1.607259e+00	2.096589e+02	1.270847e+00	27217.000000	0.000000e+00
1.631809e+00	2.056564e+02	1.239052e+00	27549.000000	0.000000e+00
1.656366e+00	2.015933e+02	1.187632e+00	28813.000000	0.000000e+00
1.680925e+00	1.994783e+02	1.164273e+00	29355.000000	0.000000e+00
1.705257e+00	1.946944e+02	1.125627e+00	29917.000000	0.000000e+00
1.729806e+00	1.918803e+02	1.078507e+00	31653.000000	0.000000e+00
1.754462e+00	1.887068e+02	1.055712e+00	31951.000000	0.000000e+00
1.778992e+00	1.835781e+02	1.009632e+00	33061.000000	0.000000e+00
1.803411e+00	1.808278e+02	9.865404e-01	33597.000000	0.000000e+00
1.827963e+00	1.799378e+02	9.591127e-01	35197.000000	0.000000e+00
1.852647e+00	1.749544e+02	9.243660e-01	35823.000000	0.000000e+00
1.877249e+00	1.731504e+02	9.007873e-01	36949.000000	0.000000e+00
1.901733e+00	1.693504e+02	8.767576e-01	37309.000000	0.000000e+00
