# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.499583e+04	4.159096e+03	13.000000	0.000000e+00
5.890282e-02	1.098307e+04	1.911907e+03	33.000000	0.000000e+00
8.378087e-02	6.473990e+03	7.283808e+02	79.000000	0.000000e+00
1.087368e-01	4.976130e+03	4.600434e+02	117.000000	0.000000e+00
1.341836e-01	3.721333e+03	2.599092e+02	205.000000	0.000000e+00
1.581206e-01	2.746514e+03	1.791628e+02	235.000000	0.000000e+00
1.826843e-01	2.127053e+03	1.107300e+02	369.000000	0.000000e+00
2.073525e-01	1.961728e+03	9.427462e+01	433.000000	0.000000e+00
2.322407e-01	1.713036e+03	7.082534e+01	585.000000	0.000000e+00
2.568838e-01	1.444157e+03	5.542168e+01	679.000000	0.000000e+00
2.811185e-01	1.310212e+03	4.595113e+01	813.000000	0.000000e+00
3.057758e-01	1.160516e+03	3.697710e+01	985.000000	0.000000e+00
3.308750e-01	1.120118e+03	3.256653e+01	1183.000000	0.000000e+00
3.553459e-01	1.038507e+03	2.915269e+01	1269.000000	0.000000e+00
3.797184e-01	8.890623e+02	2.267750e+01	1537.000000	0.000000e+00
4.042043e-01	8.663334e+02	2.130829e+01	1653.000000	0.000000e+00
4.287408e-01	7.823071e+02	1.765701e+01	1963.000000	0.000000e+00
4.533372e-01	7.659156e+02	1.663070e+01	2121.000000	0.000000e+00
4.779960e-01	7.191269e+02	1.463952e+01	2413.000000	0.000000e+00
5.026630e-01	6.825515e+02	1.329674e+01	2635.000000	0.000000e+00
5.271488e-01	6.173701e+02	1.151001e+01	2877.000000	0.000000e+00
5.515428e-01	6.012611e+02	1.068076e+01	3169.000000	0.000000e+00
5.762241e-01	5.662302e+02	9.561480e+00	3507.000000	0.000000e+00
6.007286e-01	5.701299e+02	9.391935e+00	3685.000000	0.000000e+00
6.252569e-01	5.416222e+02	8.392454e+00	4165.000000	0.000000e+00
6.499966e-01	5.262188e+02	7.953863e+00	4377.000000	0.000000e+00
6.746858e-01	4.931036e+02	7.076907e+00	4855.000000	0.000000e+00
6.991271e-01	4.861339e+02	6.924310e+00	4929.000000	0.000000e+00
7.235757e-01	4.680782e+02	6.265596e+00	5581.000000	0.000000e+00
7.479714e-01	4.515469e+02	5.991933e+00	5679.000000	0.000000e+00
7.726133e-01	4.406453e+02	5.514532e+00	6385.000000	0.000000e+00
7.972413e-01	4.222418e+02	5.216043e+00	6553.000000	0.000000e+00
8.218513e-01	4.146698e+02	4.912583e+00	7125.000000	0.000000e+00
8.464491e-01	3.976544e+02	4.608028e+00	7447.000000	0.000000e+00
8.709767e-01	3.907029e+02	4.387706e+00	7929.000000	0.000000e+00
8.955547e-01	3.760326e+02	4.114379e+00	8353.000000	0.000000e+00
9.199772e-01	3.677564e+02	3.925877e+00	8775.000000	0.000000e+00
9.444963e-01	3.662265e+02	3.794941e+00	9313.000000	0.000000e+00
9.690846e-01	3.571708e+02	3.600447e+00	9841.000000	0.000000e+00
9.935517e-01	3.492097e+02	3.459218e+00	10191.000000	0.000000e+00
1.018099e+00	3.412840e+02	3.269357e+00	10897.000000	0.000000e+00
1.042679e+00	3.323866e+02	3.126692e+00	11301.000000	0.000000e+00
1.067353e+00	3.233735e+02	2.948913e+00	12025.000000	0.000000e+00
1.092004e+00	3.146703e+02	2.823205e+00	12423.000000	0.000000e+00
1.116549e+00	3.082677e+02	2.701506e+00	13021.000000	0.000000e+00
1.140967e+00	3.044499e+02	2.629556e+00	13405.000000	0.000000e+00
1.165410e+00	2.941986e+02	2.464784e+00	14247.000000	0.000000e+00
1.189942e+00	2.844126e+02	2.349555e+00	14653.000000	0.000000e+00
1.214340e+00	2.837060e+02	2.291157e+00	15333.000000	0.000000e+00
1.238824e+00	2.774135e+02	2.196650e+00	15949.000000	0.000000e+00
1.263616e+00	2.685036e+02	2.055764e+00	17059.000000	0.000000e+00
1.288278e+00	2.644034e+02	2.022121e+00	17097.000000	0.000000e+00
1.312698e+00	2.579219e+02	1.924308e+00	17965.000000	0.000000e+00
1.337129e+00	2.521630e+02	1.852388e+00	18531.000000	0.000000e+00
1.361846e+00	2.498748e+02	1.781687e+00	19669.000000	0.000000e+00
1.386459e+00	2.437744e+02	1.728375e+00	19893.000000	0.000000e+00
1.410760e+00	2.379835e+02	1.662757e+00	20485.000000	0.000000e+00
1.435294e+00	2.378491e+02	1.612731e+00	21751.000000	0.000000e+00
1.459966e+00	2.304574e+02	1.546416e+00	22209.000000	0.000000e+00
1.484553e+00	2.267698e+02	1.493945e+00	23041.000000	0.000000e+00
1.509059e+00	2.241879e+02	1.456534e+00	23691.000000	0.000000e+00
1.533565e+00	2.176666e+02	1.391843e+00	24457.000000	0.000000e+00
1.558284e+00	2.171910e+02	1.352251e+00	25797.000000	0.000000e+00
1.582818e+00	2.125931e+02	1.328007e+00	25627.000000	0.000000e+00
1.607259e+00	2.083808e+02	1.263100e+00	27217.000000	0.000000e+00
1.631809e+00	2.040974e+02	1.229659e+00	27549.000000	0.000000e+00
1.656366e+00	2.000472e+02	1.178523e+00	28813.000000	0.000000e+00
1.680925e+00	1.979560e+02	1.155387e+00	29355.000000	0.000000e+00
1.705257e+00	1.930438e+02	1.116084e+00	29917.000000	0.000000e+00
1.729806e+00	1.904817e+02	1.070646e+00	31653.000000	0.000000e+00
1.754462e+00	1.869959e+02	1.046140e+00	31951.000000	0.000000e+00
1.778992e+00	1.820170e+02	1.001046e+00	33061.000000	0.000000e+00
1.803411e+00	1.792719e+02	9.780522e-01	33597.000000	0.000000e+00
1.827963e+00	1.782111e+02	9.499086e-01	35197.000000	0.000000e+00
1.852647e+00	1.731630e+02	9.149009e-01	35823.000000	0.000000e+00
1.877249e+00	1.715430e+02	8.924249e-01	36949.000000	0.000000e+00
1.901733e+00	1.674778e+02	8.670626e-01	37309.000000	0.000000e+00
1.926241e+00	1.643731e+02	8.315362e-01	39075.000000	0.000000e+00
1.950830e+00	1.623228e+02	8.180507e-01	39373.000000	0.000000e+00
1.975308e+00	1.609249e+02	7.963748e-01	40833.000000	0.000000e+00
1.999729e+00	1.583575e+02	7.801428e-01	41203.000000	0.000000e+00
2.024419e+00	1.542106e+02	7.377821e-01	43689.000000	0.000000e+00
2.049126e+00	1.516871e+02	7.271751e-01	43513.000000	0.000000e+00
