# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.500026e+04	4.160324e+03	13.000000	0.000000e+00
5.890282e-02	1.097953e+04	1.911291e+03	33.000000	0.000000e+00
8.378087e-02	6.475816e+03	7.285862e+02	79.000000	0.000000e+00
1.087368e-01	4.976366e+03	4.600652e+02	117.000000	0.000000e+00
1.341836e-01	3.721227e+03	2.599018e+02	205.000000	0.000000e+00
1.581206e-01	2.746647e+03	1.791715e+02	235.000000	0.000000e+00
1.826843e-01	2.127059e+03	1.107303e+02	369.000000	0.000000e+00
2.073525e-01	1.961801e+03	9.427812e+01	433.000000	0.000000e+00
2.322407e-01	1.713247e+03	7.083403e+01	585.000000	0.000000e+00
2.568838e-01	1.444155e+03	5.542160e+01	679.000000	0.000000e+00
2.811185e-01	1.310297e+03	4.595412e+01	813.000000	0.000000e+00
3.057758e-01	1.160303e+03	3.697034e+01	985.000000	0.000000e+00
3.308750e-01	1.120352e+03	3.257332e+01	1183.000000	0.000000e+00
3.553459e-01	1.038663e+03	2.915708e+01	1269.000000	0.000000e+00
3.797184e-01	8.891807e+02	2.268053e+01	1537.000000	0.000000e+00
4.042043e-01	8.665171e+02	2.131281e+01	1653.000000	0.000000e+00
4.287408e-01	7.822101e+02	1.765482e+01	1963.000000	0.000000e+00
4.533372e-01	7.659657e+02	1.663179e+01	2121.000000	0.000000e+00
4.779960e-01	7.192392e+02	1.464181e+01	2413.000000	0.000000e+00
5.026630e-01	6.825814e+02	1.329732e+01	2635.000000	0.000000e+00
5.271488e-01	6.174412e+02	1.151133e+01	2877.000000	0.000000e+00
5.515428e-01	6.012663e+02	1.068085e+01	3169.000000	0.000000e+00
5.762241e-01	5.663097e+02	9.562822e+00	3507.000000	0.000000e+00
6.007286e-01	5.701504e+02	9.392272e+00	3685.000000	0.000000e+00
