# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.501314e+04	4.163897e+03	13.000000	0.000000e+00
5.890282e-02	1.097154e+04	1.909899e+03	33.000000	0.000000e+00
8.378087e-02	6.480344e+03	7.290956e+02	79.000000	0.000000e+00
1.087368e-01	4.976322e+03	4.600612e+02	117.000000	0.000000e+00
1.341836e-01	3.720727e+03	2.598668e+02	205.000000	0.000000e+00
1.581206e-01	2.746961e+03	1.791920e+02	235.000000	0.000000e+00
1.826843e-01	2.127136e+03	1.107343e+02	369.000000	0.000000e+00
2.073525e-01	1.961956e+03	9.428559e+01	433.000000	0.000000e+00
2.322407e-01	1.713508e+03	7.084483e+01	585.000000	0.000000e+00
2.568838e-01	1.444151e+03	5.542143e+01	679.000000	0.000000e+00
2.811185e-01	1.310257e+03	4.595272e+01	813.000000	0.000000e+00
3.057758e-01	1.160021e+03	3.696135e+01	985.000000	0.000000e+00
3.308750e-01	1.120800e+03	3.258636e+01	1183.000000	0.000000e+00
3.553459e-01	1.039142e+03	2.917051e+01	1269.000000	0.000000e+00
3.797184e-01	8.895376e+02	2.268963e+01	1537.000000	0.000000e+00
4.042043e-01	8.668741e+02	2.132159e+01	1653.000000	0.000000e+00
4.287408e-01	7.821229e+02	1.765285e+01	1963.000000	0.000000e+00
4.533372e-01	7.661361e+02	1.663549e+01	2121.000000	0.000000e+00
4.779960e-01	7.194934e+02	1.464698e+01	2413.000000	0.000000e+00
5.026630e-01	6.825764e+02	1.329722e+01	2635.000000	0.000000e+00
5.271488e-01	6.177632e+02	1.151734e+01	2877.000000	0.000000e+00
5.515428e-01	6.013201e+02	1.068180e+01	3169.000000	0.000000e+00
5.762241e-01	5.664068e+02	9.564462e+00	3507.000000	0.000000e+00
6.007286e-01	5.702269e+02	9.393533e+00	3685.000000	0.000000e+00
6.252569e-01	5.417229e+02	8.394015e+00	4165.000000	0.000000e+00
6.499966e-01	5.264280e+02	7.957025e+00	4377.000000	0.000000e+00
6.746858e-01	4.929000e+02	7.073986e+00	4855.000000	0.000000e+00
6.991271e-01	4.861709e+02	6.924837e+00	4929.000000	0.000000e+00
7.235757e-01	4.683845e+02	6.269697e+00	5581.000000	0.000000e+00
7.479714e-01	4.519877e+02	5.997782e+00	5679.000000	0.000000e+00
7.726133e-01	4.406906e+02	5.515100e+00	6385.000000	0.000000e+00
7.972413e-01	4.227208e+02	5.221960e+00	6553.000000	0.000000e+00
8.218513e-01	4.147525e+02	4.913563e+00	7125.000000	0.000000e+00
8.464491e-01	3.980666e+02	4.612805e+00	7447.000000	0.000000e+00
8.709767e-01	3.908918e+02	4.389827e+00	7929.000000	0.000000e+00
8.955547e-01	3.760142e+02	4.114177e+00	8353.000000	0.000000e+00
9.199772e-01	3.679975e+02	3.928451e+00	8775.000000	0.000000e+00
9.444963e-01	3.665696e+02	3.798495e+00	9313.000000	0.000000e+00
9.690846e-01	3.574022e+02	3.602779e+00	9841.000000	0.000000e+00
9.935517e-01	3.496650e+02	3.463728e+00	10191.000000	0.000000e+00
1.018099e+00	3.415423e+02	3.271832e+00	10897.000000	0.000000e+00
1.042679e+00	3.328020e+02	3.130600e+00	11301.000000	0.000000e+00
1.067353e+00	3.237423e+02	2.952275e+00	12025.000000	0.000000e+00
1.092004e+00	3.147609e+02	2.824018e+00	12423.000000	0.000000e+00
1.116549e+00	3.086567e+02	2.704914e+00	13021.000000	0.000000e+00
1.140967e+00	3.048569e+02	2.633072e+00	13405.000000	0.000000e+00
1.165410e+00	2.946167e+02	2.468287e+00	14247.000000	0.000000e+00
1.189942e+00	2.848444e+02	2.353122e+00	14653.000000	0.000000e+00
1.214340e+00	2.840876e+02	2.294239e+00	15333.000000	0.000000e+00
1.238824e+00	2.777785e+02	2.199540e+00	15949.000000	0.000000e+00
1.263616e+00	2.688760e+02	2.058615e+00	17059.000000	0.000000e+00
1.288278e+00	2.648958e+02	2.025887e+00	17097.000000	0.000000e+00
