# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.500026e+04	4.160324e+03	13.000000	0.000000e+00
5.890282e-02	1.097972e+04	1.911324e+03	33.000000	0.000000e+00
8.378087e-02	6.475765e+03	7.285805e+02	79.000000	0.000000e+00
1.087368e-01	4.976286e+03	4.600578e+02	117.000000	0.000000e+00
1.341836e-01	3.721198e+03	2.598997e+02	205.000000	0.000000e+00
1.581206e-01	2.746649e+03	1.791716e+02	235.000000	0.000000e+00
1.826843e-01	2.127046e+03	1.107296e+02	369.000000	0.000000e+00
2.073525e-01	1.961794e+03	9.427779e+01	433.000000	0.000000e+00
2.322407e-01	1.713200e+03	7.083211e+01	585.000000	0.000000e+00
2.568838e-01	1.444143e+03	5.542113e+01	679.000000	0.000000e+00
2.811185e-01	1.310268e+03	4.595310e+01	813.000000	0.000000e+00
3.057758e-01	1.160339e+03	3.697149e+01	985.000000	0.000000e+00
3.308750e-01	1.120321e+03	3.257243e+01	1183.000000	0.000000e+00
3.553459e-01	1.038661e+03	2.915701e+01	1269.000000	0.000000e+00
3.797184e-01	8.891853e+02	2.268064e+01	1537.000000	0.000000e+00
4.042043e-01	8.664922e+02	2.131220e+01	1653.000000	0.000000e+00
4.287408e-01	7.822172e+02	1.765498e+01	1963.000000	0.000000e+00
4.533372e-01	7.659650e+02	1.663178e+01	2121.000000	0.000000e+00
4.779960e-01	7.192264e+02	1.464155e+01	2413.000000	0.000000e+00
5.026630e-01	6.825633e+02	1.329697e+01	2635.000000	0.000000e+00
5.271488e-01	6.174438e+02	1.151138e+01	2877.000000	0.000000e+00
5.515428e-01	6.012626e+02	1.068078e+01	3169.000000	0.000000e+00
5.762241e-01	5.662916e+02	9.562518e+00	3507.000000	0.000000e+00
6.007286e-01	5.701393e+02	9.392090e+00	3685.000000	0.000000e+00
6.252569e-01	5.416119e+02	8.392294e+00	4165.000000	0.000000e+00
6.499966e-01	5.262807e+02	7.954798e+00	4377.000000	0.000000e+00
6.746858e-01	4.930482e+02	7.076113e+00	4855.000000	0.000000e+00
6.991271e-01	4.861353e+02	6.924330e+00	4929.000000	0.000000e+00
7.235757e-01	4.681484e+02	6.266536e+00	5581.000000	0.000000e+00
7.479714e-01	4.516339e+02	5.993088e+00	5679.000000	0.000000e+00
7.726133e-01	4.406380e+02	5.514441e+00	6385.000000	0.000000e+00
7.972413e-01	4.223610e+02	5.217515e+00	6553.000000	0.000000e+00
8.218513e-01	4.146487e+02	4.912334e+00	7125.000000	0.000000e+00
8.464491e-01	3.977257e+02	4.608854e+00	7447.000000	0.000000e+00
8.709767e-01	3.907193e+02	4.387889e+00	7929.000000	0.000000e+00
8.955547e-01	3.759966e+02	4.113985e+00	8353.000000	0.000000e+00
9.199772e-01	3.677854e+02	3.926186e+00	8775.000000	0.000000e+00
9.444963e-01	3.662824e+02	3.795519e+00	9313.000000	0.000000e+00
9.690846e-01	3.571901e+02	3.600641e+00	9841.000000	0.000000e+00
9.935517e-01	3.493061e+02	3.460172e+00	10191.000000	0.000000e+00
1.018099e+00	3.413104e+02	3.269611e+00	10897.000000	0.000000e+00
1.042679e+00	3.324561e+02	3.127345e+00	11301.000000	0.000000e+00
1.067353e+00	3.234472e+02	2.949585e+00	12025.000000	0.000000e+00
1.092004e+00	3.146629e+02	2.823139e+00	12423.000000	0.000000e+00
1.116549e+00	3.083239e+02	2.701998e+00	13021.000000	0.000000e+00
1.140967e+00	3.045103e+02	2.630077e+00	13405.000000	0.000000e+00
1.165410e+00	2.942597e+02	2.465296e+00	14247.000000	0.000000e+00
1.189942e+00	2.844755e+02	2.350074e+00	14653.000000	0.000000e+00
1.214340e+00	2.837737e+02	2.291704e+00	15333.000000	0.000000e+00
1.238824e+00	2.774506e+02	2.196944e+00	15949.000000	0.000000e+00
1.263616e+00	2.685758e+02	2.056317e+00	17059.000000	0.000000e+00
1.288278e+00	2.644919e+02	2.022798e+00	17097.000000	0.000000e+00
1.312698e+00	2.579628e+02	1.924613e+00	17965.000000	0.000000e+00
1.337129e+00	2.522336e+02	1.852906e+00	18531.000000	0.000000e+00
1.361846e+00	2.499391e+02	1.782145e+00	19669.000000	0.000000e+00
1.386459e+00	2.438349e+02	1.728804e+00	19893.000000	0.000000e+00
1.410760e+00	2.379960e+02	1.662845e+00	20485.000000	0.000000e+00
1.435294e+00	2.378716e+02	1.612884e+00	21751.000000	0.000000e+00
1.459966e+00	2.305182e+02	1.546823e+00	22209.000000	0.000000e+00
1.484553e+00	2.268184e+02	1.494265e+00	23041.000000	0.000000e+00
1.509059e+00	2.242254e+02	1.456777e+00	23691.000000	0.000000e+00
1.533565e+00	2.177103e+02	1.392122e+00	24457.000000	0.000000e+00
1.558284e+00	2.172645e+02	1.352708e+00	25797.000000	0.000000e+00
1.582818e+00	2.126519e+02	1.328374e+00	25627.000000	0.000000e+00
1.607259e+00	2.083876e+02	1.263141e+00	27217.000000	0.000000e+00
1.631809e+00	2.041605e+02	1.230039e+00	27549.000000	0.000000e+00
1.656366e+00	2.000989e+02	1.178828e+00	28813.000000	0.000000e+00
1.680925e+00	1.979900e+02	1.155586e+00	29355.000000	0.000000e+00
1.705257e+00	1.930956e+02	1.116383e+00	29917.000000	0.000000e+00
1.729806e+00	1.904901e+02	1.070693e+00	31653.000000	0.000000e+00
1.754462e+00	1.870567e+02	1.046480e+00	31951.000000	0.000000e+00
1.778992e+00	1.820629e+02	1.001298e+00	33061.000000	0.000000e+00
1.803411e+00	1.793037e+02	9.782258e-01	33597.000000	0.000000e+00
1.827963e+00	1.782766e+02	9.502579e-01	35197.000000	0.000000e+00
1.852647e+00	1.732387e+02	9.153010e-01	35823.000000	0.000000e+00
1.877249e+00	1.715675e+02	8.925525e-01	36949.000000	0.000000e+00
1.901733e+00	1.675618e+02	8.674974e-01	37309.000000	0.000000e+00
1.926241e+00	1.644554e+02	8.319529e-01	39075.000000	0.000000e+00
1.950830e+00	1.623587e+02	8.182315e-01	39373.000000	0.000000e+00
1.975308e+00	1.610175e+02	7.968333e-01	40833.000000	0.000000e+00
1.999729e+00	1.583595e+02	7.801530e-01	41203.000000	0.000000e+00
2.024419e+00	1.542989e+02	7.382047e-01	43689.000000	0.000000e+00
2.049126e+00	1.517377e+02	7.274180e-01	43513.000000	0.000000e+00
2.073508e+00	1.506537e+02	7.146732e-01	44437.000000	0.000000e+00
2.097846e+00	1.482920e+02	6.940529e-01	45651.000000	0.000000e+00
2.122473e+00	1.451216e+02	6.659687e-01	47485.000000	0.000000e+00
2.147106e+00	1.430725e+02	6.532993e-01	47961.000000	0.000000e+00
2.171601e+00	1.410114e+02	6.360712e-01	49147.000000	0.000000e+00
2.196158e+00	1.383321e+02	6.166393e-01	50325.000000	0.000000e+00
2.220735e+00	1.365958e+02	6.010442e-01	51649.000000	0.000000e+00
2.245251e+00	1.348679e+02	5.905669e-01	52153.000000	0.000000e+00
2.269729e+00	1.330043e+02	5.726617e-01	53943.000000	0.000000e+00
2.294271e+00	1.311523e+02	5.607819e-01	54697.000000	0.000000e+00
2.318928e+00	1.284392e+02	5.391799e-01	56745.000000	0.000000e+00
2.343538e+00	1.265641e+02	5.300860e-01	57007.000000	0.000000e+00
2.368026e+00	1.249832e+02	5.169141e-01	58461.000000	0.000000e+00
2.392423e+00	1.215810e+02	5.003673e-01	59041.000000	0.000000e+00
2.416863e+00	1.199224e+02	4.854921e-01	61015.000000	0.000000e+00
2.441509e+00	1.191773e+02	4.761876e-01	62637.000000	0.000000e+00
2.466080e+00	1.169953e+02	4.654966e-01	63169.000000	0.000000e+00
2.490575e+00	1.152448e+02	4.534069e-01	64605.000000	0.000000e+00
2.515186e+00	1.138119e+02	4.413869e-01	66487.000000	0.000000e+00
2.539777e+00	1.126804e+02	4.352153e-01	67033.000000	0.000000e+00
2.564215e+00	1.111491e+02	4.254840e-01	68241.000000	0.000000e+00
2.588707e+00	1.095072e+02	4.139250e-01	69991.000000	0.000000e+00
2.613337e+00	1.074963e+02	4.019991e-01	71505.000000	0.000000e+00
2.637925e+00	1.069707e+02	3.967079e-01	72709.000000	0.000000e+00
2.662420e+00	1.042762e+02	3.846994e-01	73473.000000	0.000000e+00
2.686963e+00	1.027904e+02	3.734429e-01	75763.000000	0.000000e+00
2.711515e+00	1.022662e+02	3.703233e-01	76261.000000	0.000000e+00
2.735982e+00	1.002917e+02	3.591363e-01	77985.000000	0.000000e+00
2.760573e+00	9.897094e+01	3.498910e-01	80011.000000	0.000000e+00
2.785237e+00	9.720688e+01	3.415312e-01	81009.000000	0.000000e+00
2.809671e+00	9.664122e+01	3.383099e-01	81601.000000	0.000000e+00
