# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.500491e+04	4.161614e+03	13.000000	0.000000e+00
5.890282e-02	1.097637e+04	1.910741e+03	33.000000	0.000000e+00
8.378087e-02	6.477606e+03	7.287876e+02	79.000000	0.000000e+00
1.087368e-01	4.976474e+03	4.600752e+02	117.000000	0.000000e+00
1.341836e-01	3.721113e+03	2.598938e+02	205.000000	0.000000e+00
1.581206e-01	2.746811e+03	1.791822e+02	235.000000	0.000000e+00
1.826843e-01	2.127073e+03	1.107310e+02	369.000000	0.000000e+00
2.073525e-01	1.961880e+03	9.428193e+01	433.000000	0.000000e+00
2.322407e-01	1.713395e+03	7.084017e+01	585.000000	0.000000e+00
2.568838e-01	1.444147e+03	5.542129e+01	679.000000	0.000000e+00
2.811185e-01	1.310361e+03	4.595638e+01	813.000000	0.000000e+00
3.057758e-01	1.160190e+03	3.696672e+01	985.000000	0.000000e+00
3.308750e-01	1.120553e+03	3.257916e+01	1183.000000	0.000000e+00
3.553459e-01	1.038849e+03	2.916229e+01	1269.000000	0.000000e+00
3.797184e-01	8.893364e+02	2.268450e+01	1537.000000	0.000000e+00
4.042043e-01	8.666830e+02	2.131689e+01	1653.000000	0.000000e+00
4.287408e-01	7.821710e+02	1.765394e+01	1963.000000	0.000000e+00
4.533372e-01	7.660498e+02	1.663362e+01	2121.000000	0.000000e+00
4.779960e-01	7.193632e+02	1.464433e+01	2413.000000	0.000000e+00
5.026630e-01	6.826153e+02	1.329798e+01	2635.000000	0.000000e+00
5.271488e-01	6.175617e+02	1.151358e+01	2877.000000	0.000000e+00
5.515428e-01	6.013017e+02	1.068148e+01	3169.000000	0.000000e+00
5.762241e-01	5.663984e+02	9.564322e+00	3507.000000	0.000000e+00
6.007286e-01	5.701920e+02	9.392959e+00	3685.000000	0.000000e+00
6.252569e-01	5.416554e+02	8.392968e+00	4165.000000	0.000000e+00
6.499966e-01	5.263952e+02	7.956530e+00	4377.000000	0.000000e+00
6.746858e-01	4.930490e+02	7.076125e+00	4855.000000	0.000000e+00
6.991271e-01	4.862015e+02	6.925273e+00	4929.000000	0.000000e+00
7.235757e-01	4.682807e+02	6.268307e+00	5581.000000	0.000000e+00
7.479714e-01	4.517837e+02	5.995075e+00	5679.000000	0.000000e+00
7.726133e-01	4.407023e+02	5.515246e+00	6385.000000	0.000000e+00
7.972413e-01	4.225539e+02	5.219899e+00	6553.000000	0.000000e+00
8.218513e-01	4.146964e+02	4.912899e+00	7125.000000	0.000000e+00
8.464491e-01	3.978764e+02	4.610601e+00	7447.000000	0.000000e+00
8.709767e-01	3.908159e+02	4.388974e+00	7929.000000	0.000000e+00
8.955547e-01	3.760409e+02	4.114469e+00	8353.000000	0.000000e+00
9.199772e-01	3.678915e+02	3.927319e+00	8775.000000	0.000000e+00
9.444963e-01	3.664243e+02	3.796990e+00	9313.000000	0.000000e+00
9.690846e-01	3.572985e+02	3.601733e+00	9841.000000	0.000000e+00
9.935517e-01	3.494967e+02	3.462061e+00	10191.000000	0.000000e+00
1.018099e+00	3.414227e+02	3.270686e+00	10897.000000	0.000000e+00
1.042679e+00	3.326186e+02	3.128874e+00	11301.000000	0.000000e+00
1.067353e+00	3.236167e+02	2.951130e+00	12025.000000	0.000000e+00
1.092004e+00	3.147552e+02	2.823968e+00	12423.000000	0.000000e+00
1.116549e+00	3.084843e+02	2.703404e+00	13021.000000	0.000000e+00
1.140967e+00	3.046742e+02	2.631493e+00	13405.000000	0.000000e+00
1.165410e+00	2.944292e+02	2.466716e+00	14247.000000	0.000000e+00
1.189942e+00	2.846443e+02	2.351469e+00	14653.000000	0.000000e+00
1.214340e+00	2.839526e+02	2.293149e+00	15333.000000	0.000000e+00
1.238824e+00	2.776042e+02	2.198160e+00	15949.000000	0.000000e+00
1.263616e+00	2.687634e+02	2.057754e+00	17059.000000	0.000000e+00
1.288278e+00	2.646954e+02	2.024354e+00	17097.000000	0.000000e+00
1.312698e+00	2.581215e+02	1.925797e+00	17965.000000	0.000000e+00
1.337129e+00	2.524258e+02	1.854319e+00	18531.000000	0.000000e+00
1.361846e+00	2.501222e+02	1.783451e+00	19669.000000	0.000000e+00
1.386459e+00	2.440168e+02	1.730094e+00	19893.000000	0.000000e+00
1.410760e+00	2.381397e+02	1.663849e+00	20485.000000	0.000000e+00
1.435294e+00	2.380226e+02	1.613907e+00	21751.000000	0.000000e+00
1.459966e+00	2.307140e+02	1.548137e+00	22209.000000	0.000000e+00
1.484553e+00	2.270017e+02	1.495472e+00	23041.000000	0.000000e+00
1.509059e+00	2.243962e+02	1.457887e+00	23691.000000	0.000000e+00
1.533565e+00	2.178943e+02	1.393299e+00	24457.000000	0.000000e+00
1.558284e+00	2.174809e+02	1.354056e+00	25797.000000	0.000000e+00
1.582818e+00	2.128552e+02	1.329644e+00	25627.000000	0.000000e+00
1.607259e+00	2.085387e+02	1.264056e+00	27217.000000	0.000000e+00
1.631809e+00	2.043731e+02	1.231320e+00	27549.000000	0.000000e+00
1.656366e+00	2.003028e+02	1.180029e+00	28813.000000	0.000000e+00
1.680925e+00	1.981724e+02	1.156650e+00	29355.000000	0.000000e+00
1.705257e+00	1.932990e+02	1.117559e+00	29917.000000	0.000000e+00
1.729806e+00	1.906543e+02	1.071616e+00	31653.000000	0.000000e+00
1.754462e+00	1.872738e+02	1.047695e+00	31951.000000	0.000000e+00
1.778992e+00	1.822690e+02	1.002432e+00	33061.000000	0.000000e+00
1.803411e+00	1.794941e+02	9.792641e-01	33597.000000	0.000000e+00
1.827963e+00	1.785079e+02	9.514909e-01	35197.000000	0.000000e+00
1.852647e+00	1.734832e+02	9.165928e-01	35823.000000	0.000000e+00
1.877249e+00	1.717580e+02	8.935434e-01	36949.000000	0.000000e+00
1.901733e+00	1.678163e+02	8.688153e-01	37309.000000	0.000000e+00
