# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	1.500275e+04	4.161013e+03	13.000000	0.000000e+00
5.890282e-02	1.097907e+04	1.911211e+03	33.000000	0.000000e+00
8.378087e-02	6.476386e+03	7.286503e+02	79.000000	0.000000e+00
1.087368e-01	4.976319e+03	4.600609e+02	117.000000	0.000000e+00
1.341836e-01	3.720988e+03	2.598851e+02	205.000000	0.000000e+00
1.581206e-01	2.746509e+03	1.791625e+02	235.000000	0.000000e+00
1.826843e-01	2.127104e+03	1.107326e+02	369.000000	0.000000e+00
2.073525e-01	1.961834e+03	9.427972e+01	433.000000	0.000000e+00
2.322407e-01	1.713144e+03	7.082980e+01	585.000000	0.000000e+00
2.568838e-01	1.444064e+03	5.541811e+01	679.000000	0.000000e+00
2.811185e-01	1.310021e+03	4.594443e+01	813.000000	0.000000e+00
3.057758e-01	1.160250e+03	3.696864e+01	985.000000	0.000000e+00
3.308750e-01	1.120144e+03	3.256728e+01	1183.000000	0.000000e+00
3.553459e-01	1.038631e+03	2.915617e+01	1269.000000	0.000000e+00
3.797184e-01	8.891352e+02	2.267936e+01	1537.000000	0.000000e+00
4.042043e-01	8.664982e+02	2.131235e+01	1653.000000	0.000000e+00
4.287408e-01	7.822119e+02	1.765486e+01	1963.000000	0.000000e+00
4.533372e-01	7.658487e+02	1.662925e+01	2121.000000	0.000000e+00
4.779960e-01	7.190177e+02	1.463730e+01	2413.000000	0.000000e+00
5.026630e-01	6.823808e+02	1.329341e+01	2635.000000	0.000000e+00
5.271488e-01	6.174030e+02	1.151062e+01	2877.000000	0.000000e+00
5.515428e-01	6.011462e+02	1.067871e+01	3169.000000	0.000000e+00
5.762241e-01	5.660501e+02	9.558439e+00	3507.000000	0.000000e+00
6.007286e-01	5.700247e+02	9.390202e+00	3685.000000	0.000000e+00
6.252569e-01	5.414893e+02	8.390395e+00	4165.000000	0.000000e+00
6.499966e-01	5.261586e+02	7.952952e+00	4377.000000	0.000000e+00
6.746858e-01	4.927210e+02	7.071417e+00	4855.000000	0.000000e+00
6.991271e-01	4.859444e+02	6.921611e+00	4929.000000	0.000000e+00
7.235757e-01	4.679399e+02	6.263744e+00	5581.000000	0.000000e+00
7.479714e-01	4.516379e+02	5.993141e+00	5679.000000	0.000000e+00
7.726133e-01	4.404178e+02	5.511685e+00	6385.000000	0.000000e+00
7.972413e-01	4.221817e+02	5.215300e+00	6553.000000	0.000000e+00
8.218513e-01	4.144140e+02	4.909554e+00	7125.000000	0.000000e+00
8.464491e-01	3.975707e+02	4.607058e+00	7447.000000	0.000000e+00
8.709767e-01	3.905583e+02	4.386081e+00	7929.000000	0.000000e+00
8.955547e-01	3.757362e+02	4.111135e+00	8353.000000	0.000000e+00
9.199772e-01	3.676250e+02	3.924474e+00	8775.000000	0.000000e+00
9.444963e-01	3.661046e+02	3.793678e+00	9313.000000	0.000000e+00
9.690846e-01	3.570088e+02	3.598814e+00	9841.000000	0.000000e+00
9.935517e-01	3.490926e+02	3.458057e+00	10191.000000	0.000000e+00
1.018099e+00	3.411373e+02	3.267952e+00	10897.000000	0.000000e+00
1.042679e+00	3.323192e+02	3.126058e+00	11301.000000	0.000000e+00
1.067353e+00	3.232218e+02	2.947529e+00	12025.000000	0.000000e+00
1.092004e+00	3.143236e+02	2.820095e+00	12423.000000	0.000000e+00
1.116549e+00	3.080969e+02	2.700009e+00	13021.000000	0.000000e+00
1.140967e+00	3.042925e+02	2.628197e+00	13405.000000	0.000000e+00
1.165410e+00	2.939875e+02	2.463015e+00	14247.000000	0.000000e+00
1.189942e+00	2.842851e+02	2.348501e+00	14653.000000	0.000000e+00
1.214340e+00	2.834702e+02	2.289254e+00	15333.000000	0.000000e+00
1.238824e+00	2.771892e+02	2.194874e+00	15949.000000	0.000000e+00
1.263616e+00	2.682478e+02	2.053806e+00	17059.000000	0.000000e+00
1.288278e+00	2.641516e+02	2.020195e+00	17097.000000	0.000000e+00
1.312698e+00	2.576618e+02	1.922368e+00	17965.000000	0.000000e+00
1.337129e+00	2.518293e+02	1.849936e+00	18531.000000	0.000000e+00
1.361846e+00	2.496016e+02	1.779738e+00	19669.000000	0.000000e+00
1.386459e+00	2.434950e+02	1.726394e+00	19893.000000	0.000000e+00
1.410760e+00	2.376105e+02	1.660151e+00	20485.000000	0.000000e+00
1.435294e+00	2.374645e+02	1.610123e+00	21751.000000	0.000000e+00
1.459966e+00	2.302098e+02	1.544754e+00	22209.000000	0.000000e+00
1.484553e+00	2.265297e+02	1.492363e+00	23041.000000	0.000000e+00
1.509059e+00	2.239277e+02	1.454843e+00	23691.000000	0.000000e+00
1.533565e+00	2.173729e+02	1.389965e+00	24457.000000	0.000000e+00
1.558284e+00	2.168796e+02	1.350312e+00	25797.000000	0.000000e+00
1.582818e+00	2.123349e+02	1.326394e+00	25627.000000	0.000000e+00
1.607259e+00	2.080131e+02	1.260871e+00	27217.000000	0.000000e+00
1.631809e+00	2.038334e+02	1.228068e+00	27549.000000	0.000000e+00
1.656366e+00	1.997799e+02	1.176949e+00	28813.000000	0.000000e+00
1.680925e+00	1.975594e+02	1.153073e+00	29355.000000	0.000000e+00
1.705257e+00	1.926864e+02	1.114018e+00	29917.000000	0.000000e+00
1.729806e+00	1.901387e+02	1.068718e+00	31653.000000	0.000000e+00
1.754462e+00	1.866700e+02	1.044317e+00	31951.000000	0.000000e+00
1.778992e+00	1.817295e+02	9.994644e-01	33061.000000	0.000000e+00
