# [<k> (h/Mpc)]	orig	decomp
0.0348000000	218.0000000000	218.3938000000
0.0589000000	166.0000000000	165.8147000000
0.0838000000	92.1000000000	92.0545800000
0.1090000000	68.4000000000	68.4222600000
0.1340000000	51.5000000000	51.4825400000
0.1580000000	34.1000000000	34.0503600000
0.1830000000	31.3000000000	31.3465000000
0.2070000000	22.1000000000	22.0754200000
0.2320000000	19.8000000000	19.7980700000
0.2570000000	16.5000000000	16.4964000000
0.2810000000	13.4000000000	13.3910600000
0.3060000000	11.6000000000	11.5786000000
0.3310000000	9.7800000000	9.7849000000
0.3550000000	8.3300000000	8.3305640000
0.3800000000	7.3800000000	7.3811200000
0.4040000000	6.6100000000	6.6139790000
0.4290000000	5.5800000000	5.5838680000
0.4530000000	5.0500000000	5.0488680000
0.4780000000	4.5800000000	4.5780500000
0.5030000000	4.0200000000	4.0171120000
0.5270000000	3.6500000000	3.6510140000
0.5520000000	3.3600000000	3.3624900000
0.5760000000	3.0400000000	3.0367120000
0.6010000000	2.8300000000	2.8327210000
0.6250000000	2.5400000000	2.5419930000
0.6500000000	2.3700000000	2.3661620000
0.6750000000	2.2200000000	2.2190130000
0.6990000000	1.9900000000	1.9874090000
0.7240000000	1.9000000000	1.8991320000
0.7480000000	1.7600000000	1.7648770000
0.7730000000	1.6300000000	1.6261170000
0.7970000000	1.5300000000	1.5325710000
0.8220000000	1.4200000000	1.4157570000
0.8460000000	1.3100000000	1.3147740000
0.8710000000	1.2500000000	1.2517510000
0.8960000000	1.1600000000	1.1627920000
0.9200000000	1.1000000000	1.0983740000
0.9440000000	1.0500000000	1.0489870000
0.9690000000	0.9710000000	0.9707463000
0.9940000000	0.9240000000	0.9243622000
1.0200000000	0.8650000000	0.8653685000
1.0400000000	0.8230000000	0.8229713000
1.0700000000	0.7880000000	0.7881032000
1.0900000000	0.7410000000	0.7414368000
1.1200000000	0.7130000000	0.7125329000
1.1400000000	0.6780000000	0.6782880000
1.1700000000	0.6480000000	0.6483728000
1.1900000000	0.6110000000	0.6105701000
1.2100000000	0.5910000000	0.5909082000
1.2400000000	0.5530000000	0.5526478000
1.2600000000	0.5400000000	0.5398144000
1.2900000000	0.5080000000	0.5078128000
1.3100000000	0.4880000000	0.4879004000
1.3400000000	0.4750000000	0.4753952000
1.3600000000	0.4520000000	0.4522690000
1.3900000000	0.4350000000	0.4349490000
1.4100000000	0.4170000000	0.4171404000
1.4400000000	0.4010000000	0.4006670000
1.4600000000	0.3840000000	0.3835384000
1.4800000000	0.3720000000	0.3717955000
1.5100000000	0.3590000000	0.3594710000
1.5300000000	0.3420000000	0.3424922000
1.5600000000	0.3330000000	0.3327770000
1.5800000000	0.3240000000	0.3240342000
1.6100000000	0.3090000000	0.3091973000
1.6300000000	0.2980000000	0.2978838000
1.6600000000	0.2920000000	0.2919081000
1.6800000000	0.2790000000	0.2787126000
1.7100000000	0.2710000000	0.2714113000
1.7300000000	0.2610000000	0.2611169000
1.7500000000	0.2540000000	0.2537068000
1.7800000000	0.2460000000	0.2456723000
1.8000000000	0.2380000000	0.2378194000
1.8300000000	0.2290000000	0.2289356000
1.8500000000	0.2230000000	0.2231167000
1.8800000000	0.2180000000	0.2177887000
1.9000000000	0.2090000000	0.2088316000
1.9300000000	0.2040000000	0.2038890000
1.9500000000	0.1990000000	0.1986364000
1.9800000000	0.1940000000	0.1941809000
2.0000000000	0.1880000000	0.1884697000
2.0200000000	0.1810000000	0.1807345000
2.0500000000	0.1760000000	0.1760462000
2.0700000000	0.1730000000	0.1731438000
2.1000000000	0.1670000000	0.1666522000
2.1200000000	0.1640000000	0.1639884000
2.1500000000	0.1580000000	0.1583422000
2.1700000000	0.1550000000	0.1545416000
2.2000000000	0.1510000000	0.1506197000
2.2200000000	0.1460000000	0.1459080000
2.2500000000	0.1440000000	0.1441654000
2.2700000000	0.1390000000	0.1391738000
2.2900000000	0.1360000000	0.1361887000
2.3200000000	0.1340000000	0.1337791000
2.3400000000	0.1290000000	0.1292638000
2.3700000000	0.1260000000	0.1261463000
2.3900000000	0.1230000000	0.1233683000
2.4200000000	0.1210000000	0.1208131000
2.4400000000	0.1180000000	0.1180666000
2.4700000000	0.1150000000	0.1147711000
2.4900000000	0.1120000000	0.1123750000
2.5200000000	0.1100000000	0.1096026000
2.5400000000	0.1080000000	0.1078950000
2.5600000000	0.1060000000	0.1055080000
2.5900000000	0.1030000000	0.1027573000
2.6100000000	0.1000000000	0.1000643000
2.6400000000	0.0987000000	0.0987187500
2.6600000000	0.0969000000	0.0968815700
2.6900000000	0.0947000000	0.0947013500
2.7100000000	0.0920000000	0.0919943500
2.7400000000	0.0906000000	0.0905729400
2.7600000000	0.0882000000	0.0881818200
2.7900000000	0.0870000000	0.0870366000
2.8100000000	0.0850000000	0.0849806000
2.8300000000	0.0832000000	0.0832329900
2.8600000000	0.0816000000	0.0816403000
2.8800000000	0.0800000000	0.0800484500
2.9100000000	0.0792000000	0.0792261200
2.9300000000	0.0772000000	0.0772337100
2.9600000000	0.0758000000	0.0757858100
