# [<k> (h/Mpc)]	orig	decomp
2.9800000000	0.0745000000	0.0744583400
3.0100000000	0.0726000000	0.0725905200
3.0300000000	0.0715000000	0.0714791400
3.0600000000	0.0703000000	0.0702552700
3.0800000000	0.0686000000	0.0685766200
3.1000000000	0.0670000000	0.0670044600
3.1300000000	0.0662000000	0.0661562100
3.1500000000	0.0648000000	0.0648294400
3.1800000000	0.0640000000	0.0639628200
3.2000000000	0.0624000000	0.0624338600
3.2300000000	0.0613000000	0.0612708900
3.2500000000	0.0604000000	0.0604373500
3.2800000000	0.0593000000	0.0592858200
3.3000000000	0.0582000000	0.0581995600
3.3200000000	0.0573000000	0.0573015700
3.3500000000	0.0564000000	0.0563605500
3.3700000000	0.0553000000	0.0553074700
3.4000000000	0.0542000000	0.0542396200
3.4200000000	0.0536000000	0.0535657300
3.4500000000	0.0527000000	0.0526566200
3.4700000000	0.0518000000	0.0517517900
3.5000000000	0.0509000000	0.0508665400
3.5200000000	0.0500000000	0.0500049200
3.5500000000	0.0493000000	0.0492770600
3.5700000000	0.0483000000	0.0483302700
3.5900000000	0.0478000000	0.0477638100
3.6200000000	0.0470000000	0.0469780900
3.6400000000	0.0461000000	0.0461302400
3.6700000000	0.0457000000	0.0456598800
3.6900000000	0.0449000000	0.0448668000
3.7200000000	0.0440000000	0.0439961700
3.7400000000	0.0435000000	0.0434889500
3.7700000000	0.0429000000	0.0428889500
3.7900000000	0.0420000000	0.0419839700
3.8200000000	0.0415000000	0.0414634500
3.8400000000	0.0410000000	0.0410488200
3.8600000000	0.0402000000	0.0402490800
3.8900000000	0.0397000000	0.0397070200
3.9100000000	0.0391000000	0.0390709300
3.9400000000	0.0385000000	0.0385344400
3.9600000000	0.0379000000	0.0378586000
3.9900000000	0.0374000000	0.0373887900
4.0100000000	0.0367000000	0.0366872400
4.0400000000	0.0364000000	0.0363741300
4.0600000000	0.0358000000	0.0358017800
4.0900000000	0.0352000000	0.0352242100
4.1100000000	0.0348000000	0.0348474400
4.1300000000	0.0345000000	0.0344910200
4.1600000000	0.0338000000	0.0338154700
4.1800000000	0.0335000000	0.0334553000
4.2100000000	0.0330000000	0.0330436400
4.2300000000	0.0325000000	0.0324527100
4.2600000000	0.0320000000	0.0320478100
4.2800000000	0.0315000000	0.0315339800
4.3100000000	0.0312000000	0.0311824500
4.3300000000	0.0308000000	0.0308246700
4.3600000000	0.0305000000	0.0304786400
4.3800000000	0.0299000000	0.0299027200
4.4000000000	0.0296000000	0.0295891000
4.4300000000	0.0291000000	0.0291333100
4.4500000000	0.0288000000	0.0287984000
4.4800000000	0.0285000000	0.0284574600
4.5000000000	0.0281000000	0.0281130400
4.5300000000	0.0278000000	0.0277729400
4.5500000000	0.0274000000	0.0273526200
4.5800000000	0.0271000000	0.0270547700
4.6000000000	0.0266000000	0.0266006700
4.6300000000	0.0263000000	0.0263342700
4.6500000000	0.0261000000	0.0260615900
4.6700000000	0.0258000000	0.0257535500
4.7000000000	0.0253000000	0.0253197600
4.7200000000	0.0251000000	0.0251046800
4.7500000000	0.0248000000	0.0247567400
4.7700000000	0.0245000000	0.0244761500
4.8000000000	0.0242000000	0.0242425400
4.8200000000	0.0239000000	0.0239441300
4.8500000000	0.0236000000	0.0236398000
4.8700000000	0.0233000000	0.0232824800
4.9000000000	0.0231000000	0.0230939000
4.9200000000	0.0228000000	0.0227685000
4.9400000000	0.0225000000	0.0224632500
4.9700000000	0.0222000000	0.0222417100
4.9900000000	0.0221000000	0.0220748900
5.0200000000	0.0218000000	0.0217876600
5.0400000000	0.0215000000	0.0215476500
5.0700000000	0.0213000000	0.0212624100
5.0900000000	0.0210000000	0.0210162200
5.1200000000	0.0207000000	0.0207389900
5.1400000000	0.0206000000	0.0205546300
5.1700000000	0.0203000000	0.0203254000
5.1900000000	0.0201000000	0.0201275800
5.2100000000	0.0199000000	0.0198683800
5.2400000000	0.0197000000	0.0197283900
5.2600000000	0.0194000000	0.0194493000
5.2900000000	0.0192000000	0.0192270100
5.3100000000	0.0190000000	0.0190405800
5.3400000000	0.0188000000	0.0187795600
5.3600000000	0.0186000000	0.0186483900
5.3900000000	0.0184000000	0.0183647100
5.4100000000	0.0182000000	0.0182294300
5.4400000000	0.0180000000	0.0180364600
5.4600000000	0.0179000000	0.0179173100
5.4800000000	0.0177000000	0.0176857900
5.5100000000	0.0175000000	0.0174848000
5.5300000000	0.0173000000	0.0173423000
5.5600000000	0.0172000000	0.0171716200
5.5800000000	0.0170000000	0.0169627900
5.6100000000	0.0168000000	0.0168378200
5.6300000000	0.0166000000	0.0166039200
5.6600000000	0.0165000000	0.0164628200
5.6800000000	0.0163000000	0.0162898800
5.7100000000	0.0161000000	0.0161059700
5.7300000000	0.0159000000	0.0159445200
5.7500000000	0.0158000000	0.0158074300
5.7800000000	0.0157000000	0.0156548100
5.8000000000	0.0155000000	0.0155129500
5.8300000000	0.0153000000	0.0153100400
5.8500000000	0.0152000000	0.0151979300
5.8800000000	0.0150000000	0.0150315200
5.9000000000	0.0149000000	0.0149267700
5.9300000000	0.0148000000	0.0147605200
5.9500000000	0.0146000000	0.0145794000
5.9800000000	0.0144000000	0.0144017600
6.0000000000	0.0143000000	0.0143486500
6.0200000000	0.0142000000	0.0141780200
6.0500000000	0.0141000000	0.0140603800
6.0700000000	0.0139000000	0.0139206900
6.1000000000	0.0138000000	0.0138083600
6.1200000000	0.0137000000	0.0136930900
6.1500000000	0.0135000000	0.0135292700
6.1700000000	0.0134000000	0.0134278600
6.2000000000	0.0133000000	0.0132848500
6.2200000000	0.0131000000	0.0131372500
6.2400000000	0.0130000000	0.0129977400
6.2700000000	0.0129000000	0.0129260000
6.2900000000	0.0128000000	0.0127895800
6.3200000000	0.0127000000	0.0127058600
6.3400000000	0.0126000000	0.0126069800
6.3700000000	0.0124000000	0.0124378300
6.3900000000	0.0124000000	0.0124074400
6.4200000000	0.0123000000	0.0122549400
6.4400000000	0.0121000000	0.0121143400
6.4700000000	0.0120000000	0.0120271000
6.4900000000	0.0119000000	0.0119120000
6.5100000000	0.0118000000	0.0118231100
6.5400000000	0.0117000000	0.0117212200
6.5600000000	0.0116000000	0.0116453300
6.5900000000	0.0115000000	0.0114878200
6.6100000000	0.0114000000	0.0114108100
6.6400000000	0.0113000000	0.0113307600
6.6600000000	0.0112000000	0.0112248100
6.6900000000	0.0111000000	0.0111099400
6.7100000000	0.0110000000	0.0109960700
6.7400000000	0.0109000000	0.0109296100
6.7600000000	0.0108000000	0.0108442000
6.7800000000	0.0108000000	0.0107559700
6.8100000000	0.0107000000	0.0106607500
6.8300000000	0.0106000000	0.0106004400
6.8600000000	0.0105000000	0.0105023300
6.8800000000	0.0104000000	0.0104269800
6.9100000000	0.0103000000	0.0102899000
6.9300000000	0.0102000000	0.0102266200
6.9600000000	0.0102000000	0.0101677400
6.9800000000	0.0100000000	0.0100463000
7.0100000000	0.0099800000	0.0099782460
7.0300000000	0.0098900000	0.0098880800
7.0500000000	0.0098200000	0.0098194830
7.0800000000	0.0097500000	0.0097546590
7.1000000000	0.0096500000	0.0096521930
7.1300000000	0.0095700000	0.0095653160
7.1500000000	0.0095200000	0.0095248580
7.1800000000	0.0094400000	0.0094412980
7.2000000000	0.0093800000	0.0093790620
7.2300000000	0.0093000000	0.0093040600
7.2500000000	0.0092000000	0.0092042830
7.2800000000	0.0091300000	0.0091276520
7.3000000000	0.0090600000	0.0090597730
7.3200000000	0.0090100000	0.0090111090
7.3500000000	0.0089300000	0.0089309150
7.3700000000	0.0088500000	0.0088527430
7.4000000000	0.0087900000	0.0087936260
7.4200000000	0.0087400000	0.0087359890
7.4500000000	0.0086700000	0.0086691950
7.4700000000	0.0085900000	0.0085918640
7.5000000000	0.0085400000	0.0085390700
7.5200000000	0.0084500000	0.0084528940
7.5500000000	0.0084000000	0.0083992510
7.5700000000	0.0083400000	0.0083390960
7.5900000000	0.0082600000	0.0082638650
7.6200000000	0.0081900000	0.0081855010
7.6400000000	0.0081400000	0.0081395170
7.6700000000	0.0080700000	0.0080730050
7.6900000000	0.0080200000	0.0080242290
7.7200000000	0.0079600000	0.0079592930
7.7400000000	0.0079200000	0.0079194370
7.7700000000	0.0078600000	0.0078618830
7.7900000000	0.0077900000	0.0077909210
7.8200000000	0.0077400000	0.0077432530
7.8400000000	0.0077000000	0.0076966780
7.8600000000	0.0076200000	0.0076247530
7.8900000000	0.0075900000	0.0075905830
7.9100000000	0.0075400000	0.0075385380
7.9400000000	0.0074700000	0.0074700120
7.9600000000	0.0074000000	0.0074012120
7.9900000000	0.0073600000	0.0073627630
8.0100000000	0.0073300000	0.0073260850
8.0400000000	0.0072800000	0.0072767230
8.0600000000	0.0072300000	0.0072269540
8.0900000000	0.0071800000	0.0071811380
8.1100000000	0.0071200000	0.0071171160
8.1300000000	0.0070600000	0.0070633250
8.1600000000	0.0070100000	0.0070118530
8.1800000000	0.0069500000	0.0069507960
8.2100000000	0.0069300000	0.0069256590
8.2300000000	0.0068800000	0.0068763280
8.2600000000	0.0068300000	0.0068334390
8.2800000000	0.0067900000	0.0067868850
8.3100000000	0.0067300000	0.0067274830
8.3300000000	0.0066900000	0.0066861970
8.3600000000	0.0066400000	0.0066397580
8.3800000000	0.0066000000	0.0066040360
8.4000000000	0.0065600000	0.0065573880
8.4300000000	0.0065200000	0.0065201770
8.4500000000	0.0064700000	0.0064664720
8.4800000000	0.0064300000	0.0064289330
8.5000000000	0.0064000000	0.0063966930
8.5300000000	0.0063400000	0.0063386780
8.5500000000	0.0063100000	0.0063065580
8.5800000000	0.0062700000	0.0062671820
8.6000000000	0.0062200000	0.0062165840
8.6300000000	0.0061800000	0.0061833590
8.6500000000	0.0061500000	0.0061484580
8.6700000000	0.0061000000	0.0061004970
8.7000000000	0.0060600000	0.0060570600
8.7200000000	0.0060200000	0.0060199150
8.7500000000	0.0060000000	0.0059989240
8.7700000000	0.0059500000	0.0059519460
8.8000000000	0.0059300000	0.0059255610
8.8200000000	0.0058700000	0.0058700490
8.8500000000	0.0058300000	0.0058337680
8.8700000000	0.0058200000	0.0058176170
8.9000000000	0.0057600000	0.0057610160
8.9200000000	0.0057500000	0.0057492340
8.9400000000	0.0057100000	0.0057109090
8.9700000000	0.0056700000	0.0056738550
8.9900000000	0.0056400000	0.0056432920
9.0200000000	0.0055900000	0.0055860680
9.0400000000	0.0055600000	0.0055638250
9.0700000000	0.0055400000	0.0055403530
9.0900000000	0.0055000000	0.0055015750
9.1200000000	0.0054700000	0.0054753190
9.1400000000	0.0054400000	0.0054420690
9.1700000000	0.0054000000	0.0054016100
9.1900000000	0.0053700000	0.0053707060
9.2100000000	0.0053300000	0.0053337800
9.2400000000	0.0053200000	0.0053182180
9.2600000000	0.0052900000	0.0052893960
9.2900000000	0.0052500000	0.0052488930
9.3100000000	0.0052200000	0.0052229750
9.3400000000	0.0051900000	0.0051948260
9.3600000000	0.0051600000	0.0051560990
9.3900000000	0.0051300000	0.0051310380
9.4100000000	0.0051000000	0.0051020760
9.4400000000	0.0050800000	0.0050787930
9.4600000000	0.0050500000	0.0050513260
9.4800000000	0.0050300000	0.0050287190
9.5100000000	0.0049900000	0.0049867600
9.5300000000	0.0049600000	0.0049614020
9.5600000000	0.0049400000	0.0049444020
9.5800000000	0.0049100000	0.0049115610
9.6100000000	0.0048900000	0.0048876670
9.6300000000	0.0048500000	0.0048542950
9.6600000000	0.0048400000	0.0048404060
9.6800000000	0.0048100000	0.0048123180
9.7000000000	0.0047900000	0.0047904370
9.7300000000	0.0047700000	0.0047664180
9.7500000000	0.0047400000	0.0047441550
9.7800000000	0.0047200000	0.0047196760
9.8000000000	0.0047000000	0.0046956670
9.8300000000	0.0046600000	0.0046554730
9.8500000000	0.0046400000	0.0046425270
9.8800000000	0.0046200000	0.0046251530
9.9000000000	0.0046000000	0.0045960830
9.9300000000	0.0045800000	0.0045763140
9.9500000000	0.0045500000	0.0045509470
9.9700000000	0.0045300000	0.0045278860
10.0000000000	0.0045000000	0.0044995060
10.0000000000	0.0044800000	0.0044806700
10.0000000000	0.0044700000	0.0044659370
10.1000000000	0.0044400000	0.0044432980
10.1000000000	0.0044200000	0.0044203350
10.1000000000	0.0044000000	0.0044021360
10.1000000000	0.0043900000	0.0043866060
10.2000000000	0.0043600000	0.0043644150
10.2000000000	0.0043300000	0.0043341690
10.2000000000	0.0043200000	0.0043221630
10.2000000000	0.0043000000	0.0043046950
10.3000000000	0.0042700000	0.0042718340
10.3000000000	0.0042500000	0.0042508370
10.3000000000	0.0042400000	0.0042410330
10.3000000000	0.0042200000	0.0042221950
10.4000000000	0.0042100000	0.0042104840
10.4000000000	0.0041800000	0.0041848410
10.4000000000	0.0041700000	0.0041668670
10.4000000000	0.0041500000	0.0041499770
10.5000000000	0.0041400000	0.0041408250
10.5000000000	0.0041100000	0.0041086810
10.5000000000	0.0041000000	0.0041025770
10.5000000000	0.0040800000	0.0040790860
10.6000000000	0.0040600000	0.0040598260
10.6000000000	0.0040500000	0.0040530940
10.6000000000	0.0040300000	0.0040310180
10.6000000000	0.0040100000	0.0040142450
10.7000000000	0.0040000000	0.0040013480
10.7000000000	0.0039800000	0.0039806600
10.7000000000	0.0039700000	0.0039666040
10.7000000000	0.0039500000	0.0039498890
10.8000000000	0.0039300000	0.0039331370
10.8000000000	0.0039300000	0.0039258870
10.8000000000	0.0039200000	0.0039205570
10.8000000000	0.0038900000	0.0038927410
10.9000000000	0.0038900000	0.0038867650
10.9000000000	0.0038700000	0.0038729440
10.9000000000	0.0038500000	0.0038554840
10.9000000000	0.0038400000	0.0038451490
11.0000000000	0.0038300000	0.0038294710
11.0000000000	0.0038200000	0.0038177880
11.0000000000	0.0038000000	0.0038034270
11.0000000000	0.0037900000	0.0037870740
11.1000000000	0.0037800000	0.0037806980
11.1000000000	0.0037700000	0.0037684440
11.1000000000	0.0037500000	0.0037521190
11.1000000000	0.0037400000	0.0037451170
11.2000000000	0.0037400000	0.0037386600
11.2000000000	0.0037200000	0.0037231420
11.2000000000	0.0037100000	0.0037113260
11.2000000000	0.0037100000	0.0037071160
11.3000000000	0.0036900000	0.0036924650
11.3000000000	0.0036800000	0.0036810730
11.3000000000	0.0036700000	0.0036659380
11.3000000000	0.0036600000	0.0036568140
11.3000000000	0.0036500000	0.0036519050
11.4000000000	0.0036400000	0.0036418010
11.4000000000	0.0036300000	0.0036332330
11.4000000000	0.0036200000	0.0036205310
11.4000000000	0.0036200000	0.0036206620
11.5000000000	0.0036100000	0.0036068840
11.5000000000	0.0036000000	0.0035978260
11.5000000000	0.0035900000	0.0035904630
11.5000000000	0.0035800000	0.0035797470
11.6000000000	0.0035700000	0.0035744190
11.6000000000	0.0035800000	0.0035764990
11.6000000000	0.0035700000	0.0035677380
11.6000000000	0.0035500000	0.0035506390
11.7000000000	0.0035500000	0.0035474070
11.7000000000	0.0035400000	0.0035410860
11.7000000000	0.0035400000	0.0035431440
11.7000000000	0.0035300000	0.0035323250
11.8000000000	0.0035200000	0.0035252370
11.8000000000	0.0035200000	0.0035161040
11.8000000000	0.0035100000	0.0035122230
11.8000000000	0.0035100000	0.0035086190
11.9000000000	0.0035100000	0.0035092950
11.9000000000	0.0035000000	0.0035016220
11.9000000000	0.0035000000	0.0034991940
11.9000000000	0.0034900000	0.0034880880
12.0000000000	0.0034900000	0.0034922570
12.0000000000	0.0034800000	0.0034821440
12.0000000000	0.0034800000	0.0034822170
12.0000000000	0.0034800000	0.0034760930
12.1000000000	0.0034800000	0.0034782290
12.1000000000	0.0034700000	0.0034748440
12.1000000000	0.0034700000	0.0034740230
12.1000000000	0.0034700000	0.0034726130
12.2000000000	0.0034700000	0.0034670340
12.2000000000	0.0034700000	0.0034666710
12.2000000000	0.0034600000	0.0034640010
12.2000000000	0.0034600000	0.0034612890
12.3000000000	0.0034700000	0.0034678050
12.3000000000	0.0034600000	0.0034613300
12.3000000000	0.0034600000	0.0034654780
12.3000000000	0.0034700000	0.0034711270
12.4000000000	0.0034600000	0.0034599190
12.4000000000	0.0034700000	0.0034680410
12.4000000000	0.0034600000	0.0034654350
12.4000000000	0.0034700000	0.0034659320
12.5000000000	0.0034700000	0.0034690280
12.5000000000	0.0034800000	0.0034781890
12.5000000000	0.0034800000	0.0034818250
12.5000000000	0.0034800000	0.0034823870
12.6000000000	0.0034700000	0.0034754100
12.6000000000	0.0034600000	0.0034587420
12.6000000000	0.0034300000	0.0034277480
12.6000000000	0.0033800000	0.0033849980
12.6000000000	0.0033400000	0.0033434860
12.7000000000	0.0033000000	0.0033014500
12.7000000000	0.0032700000	0.0032675310
12.7000000000	0.0032300000	0.0032274850
12.7000000000	0.0031900000	0.0031914100
12.8000000000	0.0031500000	0.0031548420
12.8000000000	0.0031100000	0.0031157380
12.8000000000	0.0030900000	0.0030873860
12.8000000000	0.0030600000	0.0030577500
12.9000000000	0.0030200000	0.0030188100
12.9000000000	0.0029900000	0.0029876850
12.9000000000	0.0029500000	0.0029507950
12.9000000000	0.0029300000	0.0029330350
13.0000000000	0.0029000000	0.0029013830
13.0000000000	0.0028700000	0.0028704580
13.0000000000	0.0028400000	0.0028359580
13.0000000000	0.0028100000	0.0028112110
13.1000000000	0.0027900000	0.0027889100
13.1000000000	0.0027600000	0.0027569420
13.1000000000	0.0027300000	0.0027282640
13.1000000000	0.0027100000	0.0027084950
13.2000000000	0.0026700000	0.0026750760
13.2000000000	0.0026500000	0.0026523300
13.2000000000	0.0026300000	0.0026350970
13.2000000000	0.0026100000	0.0026103880
13.3000000000	0.0025900000	0.0025873430
13.3000000000	0.0025600000	0.0025602050
13.3000000000	0.0025500000	0.0025458240
13.3000000000	0.0025200000	0.0025165510
13.4000000000	0.0025000000	0.0024978570
13.4000000000	0.0024800000	0.0024770350
13.4000000000	0.0024600000	0.0024564240
13.4000000000	0.0024400000	0.0024373590
13.5000000000	0.0024100000	0.0024136930
13.5000000000	0.0024000000	0.0023983260
13.5000000000	0.0023800000	0.0023775430
13.5000000000	0.0023600000	0.0023573580
13.6000000000	0.0023400000	0.0023441840
13.6000000000	0.0023200000	0.0023222520
13.6000000000	0.0023100000	0.0023073940
13.6000000000	0.0022900000	0.0022920220
13.7000000000	0.0022700000	0.0022701360
13.7000000000	0.0022500000	0.0022541220
13.7000000000	0.0022400000	0.0022435510
13.7000000000	0.0022300000	0.0022282160
13.8000000000	0.0022100000	0.0022112070
13.8000000000	0.0022000000	0.0021960770
13.8000000000	0.0021800000	0.0021824410
13.8000000000	0.0021700000	0.0021668600
13.9000000000	0.0021500000	0.0021490970
13.9000000000	0.0021300000	0.0021335490
13.9000000000	0.0021200000	0.0021210260
13.9000000000	0.0021100000	0.0021107240
14.0000000000	0.0020900000	0.0020942060
14.0000000000	0.0020800000	0.0020838790
14.0000000000	0.0020700000	0.0020700060
14.0000000000	0.0020600000	0.0020616670
14.0000000000	0.0020400000	0.0020447220
14.1000000000	0.0020300000	0.0020350720
14.1000000000	0.0020200000	0.0020236030
14.1000000000	0.0020100000	0.0020091870
14.1000000000	0.0020000000	0.0020004350
14.2000000000	0.0019900000	0.0019928240
14.2000000000	0.0019700000	0.0019753510
14.2000000000	0.0019700000	0.0019705590
14.2000000000	0.0019600000	0.0019593250
14.3000000000	0.0019500000	0.0019491490
14.3000000000	0.0019400000	0.0019410250
14.3000000000	0.0019300000	0.0019285890
14.3000000000	0.0019200000	0.0019225780
14.4000000000	0.0019100000	0.0019090460
14.4000000000	0.0019000000	0.0019016910
14.4000000000	0.0018900000	0.0018939120
14.4000000000	0.0018800000	0.0018835430
14.5000000000	0.0018800000	0.0018769560
14.5000000000	0.0018700000	0.0018681300
14.5000000000	0.0018600000	0.0018596110
14.5000000000	0.0018500000	0.0018490490
14.6000000000	0.0018400000	0.0018418140
14.6000000000	0.0018400000	0.0018363470
14.6000000000	0.0018300000	0.0018304950
14.6000000000	0.0018200000	0.0018216930
14.7000000000	0.0018100000	0.0018159600
14.7000000000	0.0018100000	0.0018079280
14.7000000000	0.0018000000	0.0018033460
14.7000000000	0.0017900000	0.0017944110
14.8000000000	0.0017900000	0.0017893460
14.8000000000	0.0017800000	0.0017858510
14.8000000000	0.0017700000	0.0017738160
14.8000000000	0.0017700000	0.0017692930
14.9000000000	0.0017600000	0.0017655760
14.9000000000	0.0017600000	0.0017635140
14.9000000000	0.0017500000	0.0017547040
14.9000000000	0.0017500000	0.0017475430
15.0000000000	0.0017400000	0.0017423710
15.0000000000	0.0017400000	0.0017398830
15.0000000000	0.0017300000	0.0017333380
15.0000000000	0.0017200000	0.0017256540
15.1000000000	0.0017300000	0.0017267290
15.1000000000	0.0017200000	0.0017169860
15.1000000000	0.0017100000	0.0017145440
15.1000000000	0.0017100000	0.0017089500
15.2000000000	0.0017100000	0.0017086110
15.2000000000	0.0017000000	0.0017062180
15.2000000000	0.0017000000	0.0016991580
15.2000000000	0.0016900000	0.0016950780
15.3000000000	0.0016900000	0.0016900730
15.3000000000	0.0016900000	0.0016891120
15.3000000000	0.0016800000	0.0016857340
15.3000000000	0.0016800000	0.0016846140
15.3000000000	0.0016800000	0.0016837850
15.4000000000	0.0016800000	0.0016766960
15.4000000000	0.0016700000	0.0016737290
15.4000000000	0.0016700000	0.0016680720
15.4000000000	0.0016700000	0.0016710530
15.5000000000	0.0016600000	0.0016657740
15.5000000000	0.0016600000	0.0016661980
15.5000000000	0.0016600000	0.0016635940
15.5000000000	0.0016600000	0.0016603160
15.6000000000	0.0016600000	0.0016573920
15.6000000000	0.0016600000	0.0016575780
15.6000000000	0.0016500000	0.0016536730
15.6000000000	0.0016500000	0.0016518270
15.7000000000	0.0016500000	0.0016509550
15.7000000000	0.0016500000	0.0016502800
15.7000000000	0.0016500000	0.0016468980
15.7000000000	0.0016500000	0.0016485670
15.8000000000	0.0016500000	0.0016482540
15.8000000000	0.0016500000	0.0016473930
15.8000000000	0.0016400000	0.0016452200
15.8000000000	0.0016500000	0.0016484570
15.9000000000	0.0016400000	0.0016418580
15.9000000000	0.0016400000	0.0016455070
15.9000000000	0.0016400000	0.0016436950
15.9000000000	0.0016400000	0.0016430860
16.0000000000	0.0016400000	0.0016458120
16.0000000000	0.0016400000	0.0016404280
16.0000000000	0.0016400000	0.0016407430
16.0000000000	0.0016400000	0.0016451100
16.1000000000	0.0016400000	0.0016407240
16.1000000000	0.0016400000	0.0016450440
16.1000000000	0.0016400000	0.0016425940
16.1000000000	0.0016400000	0.0016445300
16.2000000000	0.0016400000	0.0016440100
16.2000000000	0.0016400000	0.0016425160
16.2000000000	0.0016400000	0.0016412370
16.2000000000	0.0016400000	0.0016396030
16.3000000000	0.0016400000	0.0016464250
16.3000000000	0.0016400000	0.0016418160
16.3000000000	0.0016400000	0.0016453110
