# [<k> (h/Mpc)]	[<P_0(k)> (Mpc/h)^3]	[ErrorBar (Mpc/h)^3]	nModes	[<P_2(k)> (Mpc/h)^3]
3.476422e-02	2.183938e+02	6.057154e+01	13.000000	0.000000e+00
5.890282e-02	1.658147e+02	2.886464e+01	33.000000	0.000000e+00
8.378087e-02	9.205458e+01	1.035695e+01	79.000000	0.000000e+00
1.087368e-01	6.842226e+01	6.325640e+00	117.000000	0.000000e+00
1.341836e-01	5.148254e+01	3.595696e+00	205.000000	0.000000e+00
1.581206e-01	3.405036e+01	2.221200e+00	235.000000	0.000000e+00
1.826843e-01	3.134650e+01	1.631834e+00	369.000000	0.000000e+00
2.073525e-01	2.207542e+01	1.060877e+00	433.000000	0.000000e+00
2.322407e-01	1.979807e+01	8.185496e-01	585.000000	0.000000e+00
2.568838e-01	1.649640e+01	6.330739e-01	679.000000	0.000000e+00
2.811185e-01	1.339106e+01	4.696451e-01	813.000000	0.000000e+00
3.057758e-01	1.157860e+01	3.689247e-01	985.000000	0.000000e+00
3.308750e-01	9.784900e+00	2.844880e-01	1183.000000	0.000000e+00
3.553459e-01	8.330564e+00	2.338533e-01	1269.000000	0.000000e+00
3.797184e-01	7.381120e+00	1.882718e-01	1537.000000	0.000000e+00
4.042043e-01	6.613979e+00	1.626771e-01	1653.000000	0.000000e+00
4.287408e-01	5.583868e+00	1.260303e-01	1963.000000	0.000000e+00
4.533372e-01	5.048868e+00	1.096285e-01	2121.000000	0.000000e+00
4.779960e-01	4.578050e+00	9.319699e-02	2413.000000	0.000000e+00
5.026630e-01	4.017112e+00	7.825708e-02	2635.000000	0.000000e+00
5.271488e-01	3.651014e+00	6.806809e-02	2877.000000	0.000000e+00
5.515428e-01	3.362490e+00	5.973102e-02	3169.000000	0.000000e+00
5.762241e-01	3.036712e+00	5.127855e-02	3507.000000	0.000000e+00
6.007286e-01	2.832721e+00	4.666433e-02	3685.000000	0.000000e+00
6.252569e-01	2.541993e+00	3.938826e-02	4165.000000	0.000000e+00
6.499966e-01	2.366162e+00	3.576483e-02	4377.000000	0.000000e+00
6.746858e-01	2.219013e+00	3.184676e-02	4855.000000	0.000000e+00
6.991271e-01	1.987409e+00	2.830792e-02	4929.000000	0.000000e+00
7.235757e-01	1.899132e+00	2.542138e-02	5581.000000	0.000000e+00
7.479714e-01	1.764877e+00	2.341955e-02	5679.000000	0.000000e+00
7.726133e-01	1.626117e+00	2.035033e-02	6385.000000	0.000000e+00
7.972413e-01	1.532571e+00	1.893218e-02	6553.000000	0.000000e+00
8.218513e-01	1.415757e+00	1.677245e-02	7125.000000	0.000000e+00
8.464491e-01	1.314774e+00	1.523563e-02	7447.000000	0.000000e+00
8.709767e-01	1.251751e+00	1.405753e-02	7929.000000	0.000000e+00
8.955547e-01	1.162792e+00	1.272274e-02	8353.000000	0.000000e+00
9.199772e-01	1.098374e+00	1.172537e-02	8775.000000	0.000000e+00
9.444963e-01	1.048987e+00	1.086990e-02	9313.000000	0.000000e+00
9.690846e-01	9.707463e-01	9.785570e-03	9841.000000	0.000000e+00
9.935517e-01	9.243622e-01	9.156590e-03	10191.000000	0.000000e+00
1.018099e+00	8.653685e-01	8.289868e-03	10897.000000	0.000000e+00
1.042679e+00	8.229713e-01	7.741520e-03	11301.000000	0.000000e+00
1.067353e+00	7.881032e-01	7.186882e-03	12025.000000	0.000000e+00
1.092004e+00	7.414368e-01	6.652133e-03	12423.000000	0.000000e+00
1.116549e+00	7.125329e-01	6.244285e-03	13021.000000	0.000000e+00
1.140967e+00	6.782880e-01	5.858423e-03	13405.000000	0.000000e+00
1.165410e+00	6.483728e-01	5.432042e-03	14247.000000	0.000000e+00
1.189942e+00	6.105701e-01	5.043967e-03	14653.000000	0.000000e+00
1.214340e+00	5.909082e-01	4.772066e-03	15333.000000	0.000000e+00
1.238824e+00	5.526478e-01	4.376045e-03	15949.000000	0.000000e+00
1.263616e+00	5.398144e-01	4.133022e-03	17059.000000	0.000000e+00
1.288278e+00	5.078128e-01	3.883682e-03	17097.000000	0.000000e+00
1.312698e+00	4.879004e-01	3.640136e-03	17965.000000	0.000000e+00
1.337129e+00	4.753952e-01	3.492250e-03	18531.000000	0.000000e+00
1.361846e+00	4.522690e-01	3.224821e-03	19669.000000	0.000000e+00
1.386459e+00	4.349490e-01	3.083814e-03	19893.000000	0.000000e+00
1.410760e+00	4.171404e-01	2.914501e-03	20485.000000	0.000000e+00
1.435294e+00	4.006670e-01	2.716714e-03	21751.000000	0.000000e+00
1.459966e+00	3.835384e-01	2.573619e-03	22209.000000	0.000000e+00
1.484553e+00	3.717955e-01	2.449365e-03	23041.000000	0.000000e+00
1.509059e+00	3.594710e-01	2.335458e-03	23691.000000	0.000000e+00
1.533565e+00	3.424922e-01	2.190025e-03	24457.000000	0.000000e+00
1.558284e+00	3.327770e-01	2.071900e-03	25797.000000	0.000000e+00
1.582818e+00	3.240342e-01	2.024147e-03	25627.000000	0.000000e+00
1.607259e+00	3.091973e-01	1.874199e-03	27217.000000	0.000000e+00
1.631809e+00	2.978838e-01	1.794709e-03	27549.000000	0.000000e+00
1.656366e+00	2.919081e-01	1.719697e-03	28813.000000	0.000000e+00
1.680925e+00	2.787126e-01	1.626730e-03	29355.000000	0.000000e+00
1.705257e+00	2.714113e-01	1.569166e-03	29917.000000	0.000000e+00
1.729806e+00	2.611169e-01	1.467667e-03	31653.000000	0.000000e+00
1.754462e+00	2.537068e-01	1.419351e-03	31951.000000	0.000000e+00
1.778992e+00	2.456723e-01	1.351134e-03	33061.000000	0.000000e+00
1.803411e+00	2.378194e-01	1.297469e-03	33597.000000	0.000000e+00
1.827963e+00	2.289356e-01	1.220283e-03	35197.000000	0.000000e+00
1.852647e+00	2.231167e-01	1.178830e-03	35823.000000	0.000000e+00
1.877249e+00	2.177887e-01	1.133011e-03	36949.000000	0.000000e+00
1.901733e+00	2.088316e-01	1.081158e-03	37309.000000	0.000000e+00
1.926241e+00	2.038890e-01	1.031441e-03	39075.000000	0.000000e+00
1.950830e+00	1.986364e-01	1.001059e-03	39373.000000	0.000000e+00
1.975308e+00	1.941809e-01	9.609502e-04	40833.000000	0.000000e+00
1.999729e+00	1.884697e-01	9.284900e-04	41203.000000	0.000000e+00
2.024419e+00	1.807345e-01	8.646791e-04	43689.000000	0.000000e+00
2.049126e+00	1.760462e-01	8.439510e-04	43513.000000	0.000000e+00
2.073508e+00	1.731438e-01	8.213621e-04	44437.000000	0.000000e+00
2.097846e+00	1.666522e-01	7.799845e-04	45651.000000	0.000000e+00
2.122473e+00	1.639884e-01	7.525491e-04	47485.000000	0.000000e+00
2.147106e+00	1.583422e-01	7.230236e-04	47961.000000	0.000000e+00
2.171601e+00	1.545416e-01	6.971031e-04	49147.000000	0.000000e+00
2.196158e+00	1.506197e-01	6.714131e-04	50325.000000	0.000000e+00
2.220735e+00	1.459080e-01	6.420192e-04	51649.000000	0.000000e+00
2.245251e+00	1.441654e-01	6.312792e-04	52153.000000	0.000000e+00
2.269729e+00	1.391738e-01	5.992251e-04	53943.000000	0.000000e+00
2.294271e+00	1.361887e-01	5.823167e-04	54697.000000	0.000000e+00
2.318928e+00	1.337791e-01	5.615965e-04	56745.000000	0.000000e+00
2.343538e+00	1.292638e-01	5.413931e-04	57007.000000	0.000000e+00
2.368026e+00	1.261463e-01	5.217245e-04	58461.000000	0.000000e+00
2.392423e+00	1.233683e-01	5.077229e-04	59041.000000	0.000000e+00
2.416863e+00	1.208131e-01	4.890978e-04	61015.000000	0.000000e+00
2.441509e+00	1.180666e-01	4.717496e-04	62637.000000	0.000000e+00
2.466080e+00	1.147711e-01	4.566471e-04	63169.000000	0.000000e+00
2.490575e+00	1.123750e-01	4.421164e-04	64605.000000	0.000000e+00
2.515186e+00	1.096026e-01	4.250623e-04	66487.000000	0.000000e+00
2.539777e+00	1.078950e-01	4.167320e-04	67033.000000	0.000000e+00
2.564215e+00	1.055080e-01	4.038895e-04	68241.000000	0.000000e+00
2.588707e+00	1.027573e-01	3.884111e-04	69991.000000	0.000000e+00
2.613337e+00	1.000643e-01	3.742060e-04	71505.000000	0.000000e+00
2.637925e+00	9.871875e-02	3.661049e-04	72709.000000	0.000000e+00
2.662420e+00	9.688157e-02	3.574187e-04	73473.000000	0.000000e+00
2.686963e+00	9.470135e-02	3.440548e-04	75763.000000	0.000000e+00
2.711515e+00	9.199435e-02	3.331271e-04	76261.000000	0.000000e+00
2.735982e+00	9.057294e-02	3.243343e-04	77985.000000	0.000000e+00
2.760573e+00	8.818182e-02	3.117484e-04	80011.000000	0.000000e+00
2.785237e+00	8.703660e-02	3.057985e-04	81009.000000	0.000000e+00
2.809671e+00	8.498060e-02	2.974898e-04	81601.000000	0.000000e+00
2.834151e+00	8.323299e-02	2.870427e-04	84081.000000	0.000000e+00
2.858722e+00	8.164030e-02	2.797624e-04	85159.000000	0.000000e+00
2.883250e+00	8.004845e-02	2.719137e-04	86665.000000	0.000000e+00
2.907819e+00	7.922612e-02	2.665552e-04	88341.000000	0.000000e+00
2.932335e+00	7.723371e-02	2.581941e-04	89479.000000	0.000000e+00
2.956914e+00	7.578581e-02	2.505114e-04	91521.000000	0.000000e+00
2.981449e+00	7.445834e-02	2.449168e-04	92425.000000	0.000000e+00
3.005876e+00	7.259052e-02	2.372962e-04	93579.000000	0.000000e+00
3.030403e+00	7.147914e-02	2.303371e-04	96301.000000	0.000000e+00
3.055041e+00	7.025527e-02	2.248160e-04	97657.000000	0.000000e+00
3.079692e+00	6.857662e-02	2.175195e-04	99393.000000	0.000000e+00
3.104241e+00	6.700446e-02	2.116804e-04	100195.000000	0.000000e+00
3.128710e+00	6.615621e-02	2.074393e-04	101709.000000	0.000000e+00
3.153123e+00	6.482944e-02	2.019805e-04	103021.000000	0.000000e+00
3.177619e+00	6.396282e-02	1.968255e-04	105607.000000	0.000000e+00
3.202185e+00	6.243386e-02	1.910364e-04	106809.000000	0.000000e+00
3.226708e+00	6.127089e-02	1.859145e-04	108613.000000	0.000000e+00
3.251321e+00	6.043735e-02	1.815820e-04	110781.000000	0.000000e+00
3.275882e+00	5.928582e-02	1.774333e-04	111643.000000	0.000000e+00
3.300393e+00	5.819956e-02	1.726291e-04	113661.000000	0.000000e+00
3.324955e+00	5.730157e-02	1.687817e-04	115261.000000	0.000000e+00
3.349528e+00	5.636055e-02	1.644381e-04	117475.000000	0.000000e+00
3.374087e+00	5.530747e-02	1.607415e-04	118389.000000	0.000000e+00
3.398541e+00	5.423962e-02	1.565678e-04	120013.000000	0.000000e+00
3.423011e+00	5.356573e-02	1.534218e-04	121899.000000	0.000000e+00
3.447546e+00	5.265662e-02	1.494642e-04	124117.000000	0.000000e+00
3.472176e+00	5.175179e-02	1.454086e-04	126669.000000	0.000000e+00
3.496772e+00	5.086654e-02	1.427569e-04	126961.000000	0.000000e+00
3.521302e+00	5.000492e-02	1.387448e-04	129895.000000	0.000000e+00
3.545845e+00	4.927706e-02	1.364283e-04	130461.000000	0.000000e+00
3.570351e+00	4.833027e-02	1.323640e-04	133321.000000	0.000000e+00
3.594817e+00	4.776381e-02	1.306647e-04	133623.000000	0.000000e+00
3.619340e+00	4.697809e-02	1.267306e-04	137413.000000	0.000000e+00
3.643921e+00	4.613024e-02	1.240701e-04	138241.000000	0.000000e+00
3.668501e+00	4.565988e-02	1.216145e-04	140961.000000	0.000000e+00
3.693083e+00	4.486680e-02	1.189574e-04	142255.000000	0.000000e+00
3.717636e+00	4.399617e-02	1.158737e-04	144165.000000	0.000000e+00
3.742123e+00	4.348895e-02	1.140625e-04	145369.000000	0.000000e+00
3.766623e+00	4.288895e-02	1.114126e-04	148191.000000	0.000000e+00
3.791211e+00	4.198397e-02	1.083325e-04	150193.000000	0.000000e+00
3.815740e+00	4.146345e-02	1.065349e-04	151477.000000	0.000000e+00
3.840250e+00	4.104882e-02	1.046840e-04	153759.000000	0.000000e+00
3.864816e+00	4.024908e-02	1.018651e-04	156121.000000	0.000000e+00
3.889416e+00	3.970702e-02	9.982154e-05	158229.000000	0.000000e+00
3.913984e+00	3.907093e-02	9.779567e-05	159613.000000	0.000000e+00
3.938439e+00	3.853444e-02	9.608091e-05	160851.000000	0.000000e+00
3.962856e+00	3.785860e-02	9.378616e-05	162949.000000	0.000000e+00
3.987408e+00	3.738879e-02	9.153010e-05	166861.000000	0.000000e+00
4.011951e+00	3.668724e-02	8.978954e-05	166947.000000	0.000000e+00
4.036502e+00	3.637413e-02	8.801106e-05	170809.000000	0.000000e+00
4.061101e+00	3.580178e-02	8.631546e-05	172041.000000	0.000000e+00
4.085632e+00	3.522421e-02	8.448996e-05	173809.000000	0.000000e+00
4.110226e+00	3.484744e-02	8.274175e-05	177375.000000	0.000000e+00
4.134760e+00	3.449102e-02	8.198749e-05	176977.000000	0.000000e+00
4.159247e+00	3.381547e-02	7.952092e-05	180829.000000	0.000000e+00
4.183807e+00	3.345530e-02	7.829514e-05	182583.000000	0.000000e+00
4.208321e+00	3.304364e-02	7.701141e-05	184105.000000	0.000000e+00
4.232839e+00	3.245271e-02	7.498772e-05	187293.000000	0.000000e+00
4.257376e+00	3.204781e-02	7.384816e-05	188329.000000	0.000000e+00
4.281944e+00	3.153398e-02	7.188176e-05	192451.000000	0.000000e+00
4.306505e+00	3.118245e-02	7.105571e-05	192585.000000	0.000000e+00
4.331033e+00	3.082467e-02	6.960507e-05	196117.000000	0.000000e+00
4.355617e+00	3.047864e-02	6.845987e-05	198207.000000	0.000000e+00
4.380161e+00	2.990272e-02	6.693198e-05	199597.000000	0.000000e+00
4.404676e+00	2.958910e-02	6.574430e-05	202557.000000	0.000000e+00
4.429249e+00	2.913331e-02	6.436874e-05	204847.000000	0.000000e+00
4.453772e+00	2.879840e-02	6.339800e-05	206341.000000	0.000000e+00
4.478282e+00	2.845746e-02	6.221536e-05	209217.000000	0.000000e+00
4.502777e+00	2.811304e-02	6.127405e-05	210505.000000	0.000000e+00
4.527289e+00	2.777294e-02	5.999456e-05	214299.000000	0.000000e+00
4.551889e+00	2.735262e-02	5.877664e-05	216565.000000	0.000000e+00
4.576426e+00	2.705477e-02	5.796875e-05	217821.000000	0.000000e+00
4.600893e+00	2.660067e-02	5.669543e-05	220135.000000	0.000000e+00
4.625467e+00	2.633427e-02	5.560346e-05	224305.000000	0.000000e+00
4.650035e+00	2.606159e-02	5.495328e-05	224913.000000	0.000000e+00
4.674541e+00	2.575355e-02	5.396601e-05	227737.000000	0.000000e+00
4.699104e+00	2.531976e-02	5.269978e-05	230835.000000	0.000000e+00
4.723670e+00	2.510468e-02	5.203369e-05	232777.000000	0.000000e+00
4.748182e+00	2.475674e-02	5.113666e-05	234381.000000	0.000000e+00
4.772682e+00	2.447615e-02	5.020762e-05	237655.000000	0.000000e+00
4.797203e+00	2.424254e-02	4.955545e-05	239317.000000	0.000000e+00
4.821755e+00	2.394413e-02	4.851953e-05	243537.000000	0.000000e+00
4.846361e+00	2.363980e-02	4.773751e-05	245227.000000	0.000000e+00
4.870915e+00	2.328248e-02	4.682140e-05	247269.000000	0.000000e+00
4.895426e+00	2.309390e-02	4.622248e-05	249625.000000	0.000000e+00
4.919952e+00	2.276850e-02	4.532564e-05	252337.000000	0.000000e+00
4.944496e+00	2.246325e-02	4.445433e-05	255339.000000	0.000000e+00
4.969013e+00	2.224171e-02	4.391916e-05	256465.000000	0.000000e+00
4.993562e+00	2.207489e-02	4.318683e-05	261273.000000	0.000000e+00
5.018138e+00	2.178766e-02	4.254404e-05	262267.000000	0.000000e+00
5.042642e+00	2.154765e-02	4.188307e-05	264681.000000	0.000000e+00
5.067215e+00	2.126241e-02	4.098873e-05	269089.000000	0.000000e+00
5.091775e+00	2.101622e-02	4.049429e-05	269353.000000	0.000000e+00
5.116309e+00	2.073899e-02	3.961728e-05	274035.000000	0.000000e+00
5.140838e+00	2.055463e-02	3.924805e-05	274273.000000	0.000000e+00
5.165333e+00	2.032540e-02	3.851353e-05	278517.000000	0.000000e+00
5.189818e+00	2.012758e-02	3.807572e-05	279439.000000	0.000000e+00
5.214351e+00	1.986838e-02	3.723276e-05	284757.000000	0.000000e+00
5.238947e+00	1.972839e-02	3.686391e-05	286405.000000	0.000000e+00
5.263479e+00	1.944930e-02	3.620876e-05	288523.000000	0.000000e+00
5.288002e+00	1.922701e-02	3.560209e-05	291657.000000	0.000000e+00
5.312546e+00	1.904058e-02	3.509386e-05	294373.000000	0.000000e+00
5.337121e+00	1.877956e-02	3.441159e-05	297825.000000	0.000000e+00
5.361672e+00	1.864839e-02	3.408289e-05	299371.000000	0.000000e+00
5.386196e+00	1.836471e-02	3.338415e-05	302613.000000	0.000000e+00
5.410715e+00	1.822943e-02	3.302818e-05	304633.000000	0.000000e+00
5.435244e+00	1.803646e-02	3.247168e-05	308527.000000	0.000000e+00
5.459823e+00	1.791731e-02	3.211002e-05	311361.000000	0.000000e+00
5.484389e+00	1.768579e-02	3.155657e-05	314101.000000	0.000000e+00
5.508889e+00	1.748480e-02	3.116542e-05	314757.000000	0.000000e+00
5.533464e+00	1.734230e-02	3.055539e-05	322135.000000	0.000000e+00
5.558036e+00	1.717162e-02	3.034949e-05	320125.000000	0.000000e+00
5.582484e+00	1.696279e-02	2.977041e-05	324657.000000	0.000000e+00
5.606956e+00	1.683782e-02	2.947069e-05	326431.000000	0.000000e+00
5.631560e+00	1.660392e-02	2.874696e-05	333609.000000	0.000000e+00
5.656168e+00	1.646282e-02	2.852866e-05	333001.000000	0.000000e+00
5.680698e+00	1.628988e-02	2.807328e-05	336705.000000	0.000000e+00
5.705204e+00	1.610597e-02	2.768497e-05	338443.000000	0.000000e+00
5.729704e+00	1.594452e-02	2.725735e-05	342181.000000	0.000000e+00
5.754232e+00	1.580743e-02	2.690640e-05	345153.000000	0.000000e+00
5.778772e+00	1.565481e-02	2.651382e-05	348619.000000	0.000000e+00
5.803342e+00	1.551295e-02	2.616830e-05	351429.000000	0.000000e+00
5.827902e+00	1.531004e-02	2.570634e-05	354709.000000	0.000000e+00
5.852409e+00	1.519793e-02	2.547841e-05	355815.000000	0.000000e+00
5.876957e+00	1.503152e-02	2.499300e-05	361717.000000	0.000000e+00
5.901534e+00	1.492677e-02	2.478022e-05	362845.000000	0.000000e+00
5.926030e+00	1.476052e-02	2.442574e-05	365181.000000	0.000000e+00
5.950548e+00	1.457940e-02	2.397335e-05	369847.000000	0.000000e+00
5.975137e+00	1.440176e-02	2.357585e-05	373161.000000	0.000000e+00
5.999657e+00	1.434865e-02	2.346615e-05	373885.000000	0.000000e+00
6.024161e+00	1.417802e-02	2.303050e-05	378987.000000	0.000000e+00
6.048714e+00	1.406038e-02	2.277072e-05	381277.000000	0.000000e+00
6.073267e+00	1.392069e-02	2.242133e-05	385477.000000	0.000000e+00
6.097868e+00	1.380836e-02	2.214389e-05	388845.000000	0.000000e+00
6.122369e+00	1.369309e-02	2.196553e-05	388615.000000	0.000000e+00
6.146867e+00	1.352927e-02	2.152430e-05	395085.000000	0.000000e+00
6.171452e+00	1.342786e-02	2.130116e-05	397381.000000	0.000000e+00
6.195974e+00	1.328485e-02	2.100858e-05	399871.000000	0.000000e+00
6.220444e+00	1.313725e-02	2.073315e-05	401493.000000	0.000000e+00
6.244986e+00	1.299774e-02	2.032542e-05	408937.000000	0.000000e+00
6.269588e+00	1.292600e-02	2.019217e-05	409791.000000	0.000000e+00
